,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,3 / 85,Естественный прирост населения  за 2017,13.1,человека  на 1 000 в год
,3 / 85,Естественный прирост населения за 2016,13,человек  на 1 000 в год
,2 / 85,Естественный прирост населения за 2015,15.2,человека  на 1 000 в год
,2 / 85,Естественный прирост населения за 2014,18,человек  на 1 000 в год
,2 / 83,Естественный прирост населения за 2013,17.7,человека  на 1 000 в год
,2 / 83,Естественный прирост населения за 2012,17.7,человека  на 1 000 в год
,2 / 83,Естественный прирост населения за 2011,23,человека  на 1 000 в год
,2 / 83,Естественный прирост населения за 2010,22.6,человека  на 1 000 в год
,2 / 83,Естественный прирост населения за 2009,15,человек  на 1 000 в год
,2 / 83,Естественный прирост населения за 2008,15.2,человека  на 1 000 в год
,2 / 83,Естественный прирост населения за 2007,13.4,человека  на 1 000 в год
,2 / 83,Естественный прирост населения за 2006,11.4,человека  на 1 000 в год
,2 / 83,Естественный прирост населения за 2005,10.2,человека  на 1 000 в год
,2 / 83,Естественный прирост населения за 2004,10.5,человека  на 1 000 в год
,2 / 83,Естественный прирост населения за 2003,11.1,человека  на 1 000 в год
,1 / 82,Естественный прирост населения за 2002,12.3,человека  на 1 000 в год
,1 / 82,Естественный прирост населения за 2001,15.2,человека  на 1 000 в год
,1 / 82,Естественный прирост населения за 2000,16.1,человека  на 1 000 в год
,1 / 82,Естественный прирост населения за 1999,14.5,человека  на 1 000 в год
,1 / 82,Естественный прирост населения за 1998,12.9,человека  на 1 000 в год
,1 / 82,Естественный прирост населения за 1997,13.9,человека  на 1 000 в год
,1 / 82,Естественный прирост населения за 1996,14.1,человека  на 1 000 в год
,1 / 82,Естественный прирост населения за 1995,18.5,человека  на 1 000 в год
,4 / 85,Естественный прирост населения. Рождаемость  за 2017,16.3,ребенка  на 1 000 в год
,7 / 85,Естественный прирост населения. Рождаемость за 2016,16.3,ребенка  на 1 000 в год
,4 / 85,Естественный прирост населения. Рождаемость за 2015,18.5,ребенка  на 1 000 в год
,3 / 85,Естественный прирост населения. Рождаемость за 2014,21.5,ребенка  на 1 000 в год
,3 / 83,Естественный прирост населения. Рождаемость за 2013,21.2,ребенка  на 1 000 в год
,4 / 83,Естественный прирост населения. Рождаемость за 2012,21.4,ребенка  на 1 000 в год
,3 / 83,Естественный прирост населения. Рождаемость за 2011,27,детей  на 1 000 в год
,2 / 83,Естественный прирост населения. Рождаемость за 2010,27.1,ребенка  на 1 000 в год
,4 / 83,Естественный прирост населения. Рождаемость за 2009,18.7,ребенка  на 1 000 в год
,4 / 83,Естественный прирост населения. Рождаемость за 2008,18.3,ребенка  на 1 000 в год
,5 / 83,Естественный прирост населения. Рождаемость за 2007,16.7,ребенка  на 1 000 в год
,6 / 83,Естественный прирост населения. Рождаемость за 2006,15.1,ребенка  на 1 000 в год
,8 / 83,Естественный прирост населения. Рождаемость за 2005,14,детей  на 1 000 в год
,7 / 83,Естественный прирост населения. Рождаемость за 2004,14.2,ребенка  на 1 000 в год
,7 / 83,Естественный прирост населения. Рождаемость за 2003,14.9,ребенка  на 1 000 в год
,2 / 82,Естественный прирост населения. Рождаемость за 2002,16.4,ребенка  на 1 000 в год
,1 / 82,Естественный прирост населения. Рождаемость за 2001,19.4,ребенка  на 1 000 в год
,1 / 82,Естественный прирост населения. Рождаемость за 2000,21.5,ребенка  на 1 000 в год
,1 / 82,Естественный прирост населения. Рождаемость за 1999,20.6,ребенка  на 1 000 в год
,1 / 82,Естественный прирост населения. Рождаемость за 1998,19.8,ребенка  на 1 000 в год
,1 / 82,Естественный прирост населения. Рождаемость за 1997,20.6,ребенка  на 1 000 в год
,1 / 82,Естественный прирост населения. Рождаемость за 1996,20.9,ребенка  на 1 000 в год
,1 / 82,Естественный прирост населения. Рождаемость за 1995,25.3,ребенка  на 1 000 в год
,85 / 85,Естественный прирост населения. Смертность  за 2017,3.2,человека  на 1 000 в год
,85 / 85,Естественный прирост населения. Смертность за 2016,3.3,человека  на 1 000 в год
,85 / 85,Естественный прирост населения. Смертность за 2015,3.3,человека  на 1 000 в год
,83 / 83,Естественный прирост населения. Смертность за 2014,3.5,человека  на 1 000 в год
,83 / 83,Естественный прирост населения. Смертность за 2013,3.5,человека  на 1 000 в год
,83 / 83,Естественный прирост населения. Смертность за 2012,3.7,человека  на 1 000 в год
,83 / 83,Естественный прирост населения. Смертность за 2011,4,человека  на 1 000 в год
,83 / 83,Естественный прирост населения. Смертность за 2010,4.5,человека  на 1 000 в год
,83 / 83,Естественный прирост населения. Смертность за 2009,4.6,человека  на 1 000 в год
,83 / 83,Естественный прирост населения. Смертность за 2008,3.8,человека  на 1 000 в год
,83 / 83,Естественный прирост населения. Смертность за 2007,4,человека  на 1 000 в год
,83 / 83,Естественный прирост населения. Смертность за 2006,4.4,человека  на 1 000 в год
,83 / 83,Естественный прирост населения. Смертность за 2005,4.3,человека  на 1 000 в год
,83 / 83,Естественный прирост населения. Смертность за 2004,4,человека  на 1 000 в год
,83 / 83,Естественный прирост населения. Смертность за 2003,3.9,человека  на 1 000 в год
,82 / 82,Естественный прирост населения. Смертность за 2002,4.1,человека  на 1 000 в год
,82 / 82,Естественный прирост населения. Смертность за 2001,4.2,человека  на 1 000 в год
,82 / 82,Естественный прирост населения. Смертность за 2000,5.4,человека  на 1 000 в год
,81 / 82,Естественный прирост населения. Смертность за 1999,6.1,человека  на 1 000 в год
,79 / 82,Естественный прирост населения. Смертность за 1998,6.9,человека  на 1 000 в год
,80 / 82,Естественный прирост населения. Смертность за 1997,6.7,человека  на 1 000 в год
,81 / 82,Естественный прирост населения. Смертность за 1996,6.8,человека  на 1 000 в год
,81 / 82,Естественный прирост населения. Смертность за 1995,6.8,человека  на 1 000 в год
,13 / 85,Миграционный прирост населения  за 2017,25.46,человека  на 10 000 в год
,17 / 85,Миграционный прирост населения за 2016,31.53,человека  на 10 000 в год
,14 / 85,Миграционный прирост населения за 2015,38.28,человека  на 10 000 в год
,11 / 83,Миграционный прирост населения за 2014,56.95,человека  на 10 000 в год
,9 / 83,Миграционный прирост населения за 2013,63.11,человека  на 10 000 в год
,4 / 83,Миграционный прирост населения за 2012,91.78,человека  на 10 000 в год
,3 / 83,Миграционный прирост населения за 2011,148.4,человека  на 10 000 в год
,82 / 83,Миграционный прирост населения за 2010,-158.1,человека  на 10 000 в год
,82 / 83,Миграционный прирост населения за 2009,-125.9,человека  на 10 000 в год
,80 / 83,Миграционный прирост населения за 2008,-124.2,человека  на 10 000 в год
,83 / 83,Миграционный прирост населения за 2007,-166.6,человека  на 10 000 в год
,83 / 83,Миграционный прирост населения за 2006,-393.5,человека  на 10 000 в год
,83 / 83,Миграционный прирост населения за 2005,-499.3,человека  на 10 000 в год
,83 / 83,Миграционный прирост населения за 2004,-526.0,человека  на 10 000 в год
,83 / 83,Миграционный прирост населения за 2003,-480.4,человека  на 10 000 в год
,3 / 83,Миграционный прирост населения за 2002,163.4,человека  на 10 000 в год
,10 / 83,Миграционный прирост населения за 2001,71,человек  на 10 000 в год
,1 / 83,Миграционный прирост населения за 2000,2 523,человека  на 10 000 в год
,1 / 83,Миграционный прирост населения за 1999,1 048,человека  на 10 000 в год
,13 / 83,Миграционный прирост населения за 1998,53,человека  на 10 000 в год
,28 / 83,Миграционный прирост населения за 1997,33.6,человека  на 10 000 в год
,2 / 85,Общий прирост населения,16.15,человека  на 1 000 в год
,2 / 85,Общий прирост населения в городах,28.18,человека  на 1 000 в год
,7 / 85,Общий прирост населения в сёлах,7.603,человека  на 1 000 в год
,73 / 85,Численность населения  за 2019,497 393,человека
,74 / 85,Численность населения за 2018,488 043,человека
,74 / 85,Численность населения за 2017,480 474,человека
,74 / 85,Численность населения за 2016,472 776,человек
,75 / 85,Численность населения за 2015,463 893,человека
,74 / 83,Численность населения за 2014,453 010,человек
,75 / 83,Численность населения за 2013,442 255,человек
,75 / 83,Численность населения за 2012,430 495,человек
,75 / 83,Численность населения за 2011,414 524,человека
,75 / 83,Численность населения за 2010,411 736,человек
,75 / 83,Численность населения за 2009,409 210,человек
,75 / 83,Численность населения за 2008,406 621,человек
,75 / 83,Численность населения за 2007,406 739,человек
,75 / 83,Численность населения за 2006,417 392,человека
,75 / 83,Численность населения за 2005,433 685,человек
,73 / 83,Численность населения за 2004,451 933,человека
,73 / 83,Численность населения за 2003,468 773,человека
,73 / 83,Численность населения за 2002,455 519,человек
,74 / 83,Численность населения за 2001,445 443,человека
,76 / 83,Численность населения за 2000,340 028,человек
,78 / 83,Численность населения за 1999,301 745,человек
,78 / 83,Численность населения за 1998,296 294,человека
,78 / 83,Численность населения за 1997,291 209,человек
,78 / 83,Численность населения за 1996,282 342,человека
,79 / 83,Численность населения за 1995,263 092,человека
,81 / 83,Численность населения за 1994,194 171,человек
,81 / 83,Численность населения за 1993,195 821,человек
,81 / 83,Численность населения за 1992,194 105,человек
,81 / 83,Численность населения за 1991,192 642,человека
,83 / 85,Численность населения за 1990,189 340,человек
,,Б. Демографический состав,,
,3 / 85,Доля детей  за 2017,29.3,%
,3 / 85,Доля детей за 2016,30,%
,3 / 85,Доля детей за 2015,30.4,%
,3 / 83,Доля детей за 2014,30.7,%
,3 / 83,Доля детей за 2013,31,%
,3 / 83,Доля детей за 2012,31.3,%
,82 / 85,Доля пожилых  за 2017,12,%
,82 / 85,Доля пожилых за 2016,11.3,%
,84 / 85,Доля пожилых за 2015,10.5,%
,81 / 83,Доля пожилых за 2014,10,%
,81 / 83,Доля пожилых за 2013,9.5,%
,81 / 83,Доля пожилых за 2012,9.1,%
,78 / 85,Общая демографическая нагрузка  за 2018,71.32,человека  на 100 трудоспособных
,74 / 85,Общая демографическая нагрузка за 2017,70.42,человека  на 100 трудоспособных
,68 / 85,Общая демографическая нагрузка за 2016,70.32,человека  на 100 трудоспособных
,62 / 85,Общая демографическая нагрузка за 2015,69.36,человека  на 100 трудоспособных
,51 / 83,Общая демографическая нагрузка за 2014,68.69,человека  на 100 трудоспособных
,39 / 83,Общая демографическая нагрузка за 2013,68.15,человека  на 100 трудоспособных
,24 / 83,Общая демографическая нагрузка за 2012,67.78,человека  на 100 трудоспособных
,18 / 83,Общая демографическая нагрузка за 2011,67.37,человека  на 100 трудоспособных
,15 / 83,Общая демографическая нагрузка за 2010,66.25,человека  на 100 трудоспособных
,9 / 83,Общая демографическая нагрузка за 2009,65.52,человека  на 100 трудоспособных
,7 / 83,Общая демографическая нагрузка за 2008,65.91,человека  на 100 трудоспособных
,3 / 83,Общая демографическая нагрузка за 2007,66.38,человека  на 100 трудоспособных
,2 / 83,Общая демографическая нагрузка за 2006,69.37,человека  на 100 трудоспособных
,2 / 83,Общая демографическая нагрузка за 2005,72.5,человека  на 100 трудоспособных
,1 / 83,Общая демографическая нагрузка за 2004,75.08,человека  на 100 трудоспособных
,1 / 83,Общая демографическая нагрузка за 2003,78.02,человека  на 100 трудоспособных
,2 / 83,Общая демографическая нагрузка за 2002,76.07,человека  на 100 трудоспособных
,14 / 83,Общая демографическая нагрузка за 2001,73.86,человека  на 100 трудоспособных
,1 / 83,Общая демографическая нагрузка за 2000,85.12,человека  на 100 трудоспособных
,3 / 83,Общая демографическая нагрузка за 1999,84.79,человека  на 100 трудоспособных
,8 / 83,Общая демографическая нагрузка за 1998,83.11,человека  на 100 трудоспособных
,22 / 83,Общая демографическая нагрузка за 1997,80.65,человека  на 100 трудоспособных
,23 / 83,Общая демографическая нагрузка за 1996,81.06,человека  на 100 трудоспособных
,33 / 83,Общая демографическая нагрузка за 1995,80.83,человека  на 100 трудоспособных
,1 / 83,Общая демографическая нагрузка за 1994,95.25,человека  на 100 трудоспособных
,1 / 83,Общая демографическая нагрузка за 1993,97.33,человека  на 100 трудоспособных
,1 / 83,Общая демографическая нагрузка за 1992,97.53,человека  на 100 трудоспособных
,1 / 83,Общая демографическая нагрузка за 1991,96.32,человека  на 100 трудоспособных
,1 / 83,Общая демографическая нагрузка за 1990,94.31,человека  на 100 трудоспособных
,18 / 83,Приток (отток) постоянного населения за 2010,18.32,%  от числа ныне живущих в регионе
,77 / 83,Процент людей с высшим образованием за 2010,16,%
,78 / 85,Процент мужчин,45.33,%
,85 / 85,Процент русских,0.7849,%
,83 / 85,Средний возраст,30.65,года
,75 / 85,Урбанизация  за 2018,55.3,%
,83 / 85,Урбанизация за 2017,41.8,%
,83 / 85,Урбанизация за 2016,41.3,%
,83 / 85,Урбанизация за 2015,40.7,%
,81 / 83,Урбанизация за 2014,40.4,%
,81 / 83,Урбанизация за 2013,39.9,%
,81 / 83,Урбанизация за 2012,39.2,%
,81 / 83,Урбанизация за 2011,38.4,%
,81 / 83,Урбанизация за 2010,42.7,%
,81 / 83,Урбанизация за 2009,42.8,%
,81 / 83,Урбанизация за 2008,42.6,%
,81 / 83,Урбанизация за 2007,42.6,%
,81 / 83,Урбанизация за 2006,42.5,%
,81 / 83,Урбанизация за 2005,42.4,%
,81 / 83,Урбанизация за 2004,42.6,%
,81 / 83,Урбанизация за 2003,42.45,%
,81 / 83,Урбанизация за 2002,42.57,%
,80 / 83,Урбанизация за 2001,42.64,%
,79 / 83,Урбанизация за 2000,42.87,%
,80 / 83,Урбанизация за 1999,42.01,%
,80 / 83,Урбанизация за 1998,42.31,%
,80 / 83,Урбанизация за 1997,42.28,%
,80 / 83,Урбанизация за 1996,41.81,%
,82 / 83,Урбанизация за 1995,29.48,%
,83 / 83,Урбанизация за 1994,25.31,%
,83 / 83,Урбанизация за 1993,25.91,%
,82 / 83,Урбанизация за 1992,27.06,%
,82 / 83,Урбанизация за 1991,27.8,%
