,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,24 / 85,Естественный прирост населения  за 2017,0.5,человека  на 1 000 в год
,21 / 85,Естественный прирост населения за 2016,1.8,человека  на 1 000 в год
,20 / 85,Естественный прирост населения за 2015,2.1,человека  на 1 000 в год
,21 / 85,Естественный прирост населения за 2014,2,человека  на 1 000 в год
,22 / 83,Естественный прирост населения за 2013,2.1,человека  на 1 000 в год
,24 / 83,Естественный прирост населения за 2012,1.7,человека  на 1 000 в год
,24 / 83,Естественный прирост населения за 2011,0.8,человека  на 1 000 в год
,22 / 83,Естественный прирост населения за 2010,0.4,человека  на 1 000 в год
,23 / 83,Естественный прирост населения за 2009,0.3,человека  на 1 000 в год
,22 / 83,Естественный прирост населения за 2008,-0.1,человека  на 1 000 в год
,22 / 83,Естественный прирост населения за 2007,-0.8,человека  на 1 000 в год
,20 / 83,Естественный прирост населения за 2006,-2.4,человека  на 1 000 в год
,24 / 83,Естественный прирост населения за 2005,-3.8,человека  на 1 000 в год
,20 / 83,Естественный прирост населения за 2004,-2.8,человека  на 1 000 в год
,23 / 83,Естественный прирост населения за 2003,-3.9,человека  на 1 000 в год
,23 / 82,Естественный прирост населения за 2002,-3.9,человека  на 1 000 в год
,22 / 82,Естественный прирост населения за 2001,-3.7,человека  на 1 000 в год
,23 / 82,Естественный прирост населения за 2000,-3.7,человека  на 1 000 в год
,24 / 82,Естественный прирост населения за 1999,-3.4,человека  на 1 000 в год
,28 / 82,Естественный прирост населения за 1998,-2.4,человека  на 1 000 в год
,31 / 82,Естественный прирост населения за 1997,-3.5,человека  на 1 000 в год
,36 / 82,Естественный прирост населения за 1996,-4.2,человека  на 1 000 в год
,33 / 82,Естественный прирост населения за 1995,-3.8,человека  на 1 000 в год
,37 / 81,Естественный прирост населения за 1994,-4.8,человека  на 1 000 в год
,41 / 81,Естественный прирост населения за 1993,-4.4,человека  на 1 000 в год
,38 / 82,Естественный прирост населения за 1992,-0.3,человека  на 1 000 в год
,38 / 82,Естественный прирост населения за 1991,2,человека  на 1 000 в год
,37 / 82,Естественный прирост населения за 1990,3.9,человека  на 1 000 в год
,29 / 85,Естественный прирост населения. Рождаемость  за 2017,11.9,ребенка  на 1 000 в год
,35 / 85,Естественный прирост населения. Рождаемость за 2016,13.2,ребенка  на 1 000 в год
,35 / 85,Естественный прирост населения. Рождаемость за 2015,13.6,ребенка  на 1 000 в год
,34 / 85,Естественный прирост населения. Рождаемость за 2014,13.7,ребенка  на 1 000 в год
,36 / 83,Естественный прирост населения. Рождаемость за 2013,13.8,ребенка  на 1 000 в год
,41 / 83,Естественный прирост населения. Рождаемость за 2012,13.6,ребенка  на 1 000 в год
,35 / 83,Естественный прирост населения. Рождаемость за 2011,13,детей  на 1 000 в год
,32 / 83,Естественный прирост населения. Рождаемость за 2010,13,детей  на 1 000 в год
,26 / 83,Естественный прирост населения. Рождаемость за 2009,13.2,ребенка  на 1 000 в год
,27 / 83,Естественный прирост населения. Рождаемость за 2008,12.8,ребенка  на 1 000 в год
,28 / 83,Естественный прирост населения. Рождаемость за 2007,12,детей  на 1 000 в год
,25 / 83,Естественный прирост населения. Рождаемость за 2006,11.1,ребенка  на 1 000 в год
,32 / 83,Естественный прирост населения. Рождаемость за 2005,10.7,ребенка  на 1 000 в год
,27 / 83,Естественный прирост населения. Рождаемость за 2004,11.2,ребенка  на 1 000 в год
,35 / 83,Естественный прирост населения. Рождаемость за 2003,10.6,ребенка  на 1 000 в год
,29 / 82,Естественный прирост населения. Рождаемость за 2002,10.5,ребенка  на 1 000 в год
,29 / 82,Естественный прирост населения. Рождаемость за 2001,9.7,ребенка  на 1 000 в год
,28 / 82,Естественный прирост населения. Рождаемость за 2000,9.5,ребенка  на 1 000 в год
,29 / 82,Естественный прирост населения. Рождаемость за 1999,9.1,ребенка  на 1 000 в год
,32 / 82,Естественный прирост населения. Рождаемость за 1998,9.5,ребенка  на 1 000 в год
,36 / 82,Естественный прирост населения. Рождаемость за 1997,8.9,ребенка  на 1 000 в год
,37 / 82,Естественный прирост населения. Рождаемость за 1996,9.1,ребенка  на 1 000 в год
,39 / 82,Естественный прирост населения. Рождаемость за 1995,9.2,ребенка  на 1 000 в год
,69 / 81,Естественный прирост населения. Рождаемость за 1994,8.1,ребенка  на 1 000 в год
,66 / 81,Естественный прирост населения. Рождаемость за 1993,8.1,ребенка  на 1 000 в год
,63 / 82,Естественный прирост населения. Рождаемость за 1992,9.5,ребенка  на 1 000 в год
,60 / 82,Естественный прирост населения. Рождаемость за 1991,10.9,ребенка  на 1 000 в год
,55 / 82,Естественный прирост населения. Рождаемость за 1990,12.6,ребенка  на 1 000 в год
,61 / 85,Естественный прирост населения. Смертность  за 2017,11.4,человека  на 1 000 в год
,67 / 85,Естественный прирост населения. Смертность за 2016,11.4,человека  на 1 000 в год
,67 / 85,Естественный прирост населения. Смертность за 2015,11.5,человека  на 1 000 в год
,62 / 83,Естественный прирост населения. Смертность за 2014,11.7,человека  на 1 000 в год
,64 / 83,Естественный прирост населения. Смертность за 2013,11.7,человека  на 1 000 в год
,65 / 83,Естественный прирост населения. Смертность за 2012,11.9,человека  на 1 000 в год
,65 / 83,Естественный прирост населения. Смертность за 2011,12.2,человека  на 1 000 в год
,65 / 83,Естественный прирост населения. Смертность за 2010,12.6,человека  на 1 000 в год
,62 / 83,Естественный прирост населения. Смертность за 2009,12.9,человека  на 1 000 в год
