,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,84 / 85,Естественный прирост населения  за 2017,-7.6,человека  на 1 000 в год
,84 / 85,Естественный прирост населения за 2016,-6.8,человека  на 1 000 в год
,84 / 85,Естественный прирост населения за 2015,-6.6,человека  на 1 000 в год
,84 / 85,Естественный прирост населения за 2014,-7.1,человека  на 1 000 в год
,82 / 83,Естественный прирост населения за 2013,-7.5,человека  на 1 000 в год
,82 / 83,Естественный прирост населения за 2012,-7.6,человека  на 1 000 в год
,82 / 83,Естественный прирост населения за 2011,-8.3,человека  на 1 000 в год
,82 / 83,Естественный прирост населения за 2010,-9.8,человека  на 1 000 в год
,82 / 83,Естественный прирост населения за 2009,-9.9,человека  на 1 000 в год
,82 / 83,Естественный прирост населения за 2008,-11.4,человека  на 1 000 в год
,83 / 83,Естественный прирост населения за 2007,-12,человек  на 1 000 в год
,82 / 83,Естественный прирост населения за 2006,-12.9,человека  на 1 000 в год
,82 / 83,Естественный прирост населения за 2005,-14.2,человека  на 1 000 в год
,82 / 83,Естественный прирост населения за 2004,-13.8,человека  на 1 000 в год
,81 / 83,Естественный прирост населения за 2003,-14.7,человека  на 1 000 в год
,80 / 82,Естественный прирост населения за 2002,-14.4,человека  на 1 000 в год
,80 / 82,Естественный прирост населения за 2001,-14.3,человека  на 1 000 в год
,81 / 82,Естественный прирост населения за 2000,-14.2,человека  на 1 000 в год
,80 / 82,Естественный прирост населения за 1999,-13.7,человека  на 1 000 в год
,80 / 82,Естественный прирост населения за 1998,-11.2,человека  на 1 000 в год
,81 / 82,Естественный прирост населения за 1997,-11.5,человека  на 1 000 в год
,80 / 82,Естественный прирост населения за 1996,-11.5,человека  на 1 000 в год
,80 / 82,Естественный прирост населения за 1995,-12.1,человека  на 1 000 в год
,79 / 81,Естественный прирост населения за 1994,-13,человек  на 1 000 в год
,77 / 81,Естественный прирост населения за 1993,-10.8,человека  на 1 000 в год
,82 / 82,Естественный прирост населения за 1992,-7.6,человека  на 1 000 в год
,82 / 82,Естественный прирост населения за 1991,-5.4,человека  на 1 000 в год
,82 / 82,Естественный прирост населения за 1990,-4.3,человека  на 1 000 в год
,81 / 85,Естественный прирост населения. Рождаемость  за 2017,8.9,ребенка  на 1 000 в год
,81 / 85,Естественный прирост населения. Рождаемость за 2016,10.2,ребенка  на 1 000 в год
,81 / 85,Естественный прирост населения. Рождаемость за 2015,10.5,ребенка  на 1 000 в год
,82 / 85,Естественный прирост населения. Рождаемость за 2014,10,детей  на 1 000 в год
,81 / 83,Естественный прирост населения. Рождаемость за 2013,9.9,ребенка  на 1 000 в год
