,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,13 / 85,Естественный прирост населения  за 2017,3.5,человека  на 1 000 в год
,12 / 85,Естественный прирост населения за 2016,4.5,человека  на 1 000 в год
,12 / 85,Естественный прирост населения за 2015,5.2,человека  на 1 000 в год
,12 / 85,Естественный прирост населения за 2014,5.4,человека  на 1 000 в год
,12 / 83,Естественный прирост населения за 2013,5.1,человека  на 1 000 в год
,8 / 83,Естественный прирост населения за 2012,8.8,человека  на 1 000 в год
,9 / 83,Естественный прирост населения за 2011,7.6,человека  на 1 000 в год
,8 / 83,Естественный прирост населения за 2010,7.1,человека  на 1 000 в год
,9 / 83,Естественный прирост населения за 2009,6.7,человека  на 1 000 в год
,9 / 83,Естественный прирост населения за 2008,6,человек  на 1 000 в год
,9 / 83,Естественный прирост населения за 2007,5.3,человека  на 1 000 в год
,8 / 83,Естественный прирост населения за 2006,3.9,человека  на 1 000 в год
,9 / 83,Естественный прирост населения за 2005,3.2,человека  на 1 000 в год
,8 / 83,Естественный прирост населения за 2004,3.6,человека  на 1 000 в год
,8 / 83,Естественный прирост населения за 2003,3,человека  на 1 000 в год
,7 / 82,Естественный прирост населения за 2002,2.5,человека  на 1 000 в год
,7 / 82,Естественный прирост населения за 2001,1.8,человека  на 1 000 в год
,8 / 82,Естественный прирост населения за 2000,1.3,человека  на 1 000 в год
,9 / 82,Естественный прирост населения за 1999,1.8,человека  на 1 000 в год
,9 / 82,Естественный прирост населения за 1998,2.7,человека  на 1 000 в год
,11 / 82,Естественный прирост населения за 1997,1.8,человека  на 1 000 в год
,12 / 82,Естественный прирост населения за 1996,1,человек  на 1 000 в год
,12 / 82,Естественный прирост населения за 1995,0.8,человека  на 1 000 в год
,11 / 81,Естественный прирост населения за 1994,0.8,человека  на 1 000 в год
,10 / 81,Естественный прирост населения за 1993,1.2,человека  на 1 000 в год
,13 / 82,Естественный прирост населения за 1992,4.3,человека  на 1 000 в год
,13 / 82,Естественный прирост населения за 1991,7.2,человека  на 1 000 в год
,11 / 82,Естественный прирост населения за 1990,9.6,человека  на 1 000 в год
,9 / 85,Естественный прирост населения. Рождаемость  за 2017,14.3,ребенка  на 1 000 в год
,9 / 85,Естественный прирост населения. Рождаемость за 2016,15.9,ребенка  на 1 000 в год
,9 / 85,Естественный прирост населения. Рождаемость за 2015,16.7,ребенка  на 1 000 в год
,9 / 85,Естественный прирост населения. Рождаемость за 2014,17,детей  на 1 000 в год
,9 / 83,Естественный прирост населения. Рождаемость за 2013,16.6,ребенка  на 1 000 в год
,10 / 83,Естественный прирост населения. Рождаемость за 2012,16.8,ребенка  на 1 000 в год
,9 / 83,Естественный прирост населения. Рождаемость за 2011,15.9,ребенка  на 1 000 в год
,11 / 83,Естественный прирост населения. Рождаемость за 2010,15.8,ребенка  на 1 000 в год
,11 / 83,Естественный прирост населения. Рождаемость за 2009,15.5,ребенка  на 1 000 в год
,12 / 83,Естественный прирост населения. Рождаемость за 2008,15.1,ребенка  на 1 000 в год
,13 / 83,Естественный прирост населения. Рождаемость за 2007,14.3,ребенка  на 1 000 в год
,13 / 83,Естественный прирост населения. Рождаемость за 2006,13.2,ребенка  на 1 000 в год
,14 / 83,Естественный прирост населения. Рождаемость за 2005,13,детей  на 1 000 в год
,14 / 83,Естественный прирост населения. Рождаемость за 2004,13.3,ребенка  на 1 000 в год
,14 / 83,Естественный прирост населения. Рождаемость за 2003,12.9,ребенка  на 1 000 в год
,12 / 82,Естественный прирост населения. Рождаемость за 2002,12.4,ребенка  на 1 000 в год
,13 / 82,Естественный прирост населения. Рождаемость за 2001,11.4,ребенка  на 1 000 в год
,14 / 82,Естественный прирост населения. Рождаемость за 2000,10.6,ребенка  на 1 000 в год
,15 / 82,Естественный прирост населения. Рождаемость за 1999,10.3,ребенка  на 1 000 в год
,16 / 82,Естественный прирост населения. Рождаемость за 1998,11,детей  на 1 000 в год
,17 / 82,Естественный прирост населения. Рождаемость за 1997,10.4,ребенка  на 1 000 в год
,18 / 82,Естественный прирост населения. Рождаемость за 1996,10.4,ребенка  на 1 000 в год
,19 / 82,Естественный прирост населения. Рождаемость за 1995,10.6,ребенка  на 1 000 в год
,22 / 81,Естественный прирост населения. Рождаемость за 1994,10.9,ребенка  на 1 000 в год
,25 / 81,Естественный прирост населения. Рождаемость за 1993,10.6,ребенка  на 1 000 в год
,29 / 82,Естественный прирост населения. Рождаемость за 1992,11.9,ребенка  на 1 000 в год
,21 / 82,Естественный прирост населения. Рождаемость за 1991,14,детей  на 1 000 в год
,19 / 82,Естественный прирост населения. Рождаемость за 1990,15.9,ребенка  на 1 000 в год
,69 / 85,Естественный прирост населения. Смертность  за 2017,10.8,человека  на 1 000 в год
,67 / 85,Естественный прирост населения. Смертность за 2016,11.4,человека  на 1 000 в год
,67 / 85,Естественный прирост населения. Смертность за 2015,11.5,человека  на 1 000 в год
,65 / 83,Естественный прирост населения. Смертность за 2014,11.6,человека  на 1 000 в год
,66 / 83,Естественный прирост населения. Смертность за 2013,11.5,человека  на 1 000 в год
,78 / 83,Естественный прирост населения. Смертность за 2012,8.4,человека  на 1 000 в год
,78 / 83,Естественный прирост населения. Смертность за 2011,8.5,человека  на 1 000 в год
,78 / 83,Естественный прирост населения. Смертность за 2010,9,человек  на 1 000 в год
,78 / 83,Естественный прирост населения. Смертность за 2009,9,человек  на 1 000 в год
,78 / 83,Естественный прирост населения. Смертность за 2008,9.2,человека  на 1 000 в год
,78 / 83,Естественный прирост населения. Смертность за 2007,9.1,человека  на 1 000 в год
,78 / 83,Естественный прирост населения. Смертность за 2006,9.4,человека  на 1 000 в год
,78 / 83,Естественный прирост населения. Смертность за 2005,9.9,человека  на 1 000 в год
,77 / 83,Естественный прирост населения. Смертность за 2004,9.8,человека  на 1 000 в год
,78 / 83,Естественный прирост населения. Смертность за 2003,9.9,человека  на 1 000 в год
,78 / 82,Естественный прирост населения. Смертность за 2002,9.9,человека  на 1 000 в год
,78 / 82,Естественный прирост населения. Смертность за 2001,9.6,человека  на 1 000 в год
,78 / 82,Естественный прирост населения. Смертность за 2000,9.3,человека  на 1 000 в год
,77 / 82,Естественный прирост населения. Смертность за 1999,8.5,человека  на 1 000 в год
,78 / 82,Естественный прирост населения. Смертность за 1998,8.3,человека  на 1 000 в год
,77 / 82,Естественный прирост населения. Смертность за 1997,8.6,человека  на 1 000 в год
,78 / 82,Естественный прирост населения. Смертность за 1996,9.4,человека  на 1 000 в год
,76 / 82,Естественный прирост населения. Смертность за 1995,9.8,человека  на 1 000 в год
,75 / 81,Естественный прирост населения. Смертность за 1994,10.1,человека  на 1 000 в год
,76 / 81,Естественный прирост населения. Смертность за 1993,9.4,человека  на 1 000 в год
,75 / 82,Естественный прирост населения. Смертность за 1992,7.6,человека  на 1 000 в год
,74 / 82,Естественный прирост населения. Смертность за 1991,6.8,человека  на 1 000 в год
,75 / 82,Естественный прирост населения. Смертность за 1990,6.3,человека  на 1 000 в год
