,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,61 / 85,Естественный прирост населения  за 2017,-3.9,человека  на 1 000 в год
,63 / 85,Естественный прирост населения за 2016,-3.2,человека  на 1 000 в год
,64 / 85,Естественный прирост населения за 2015,-3,человека  на 1 000 в год
,64 / 85,Естественный прирост населения за 2014,-2.7,человека  на 1 000 в год
,61 / 83,Естественный прирост населения за 2013,-2.8,человека  на 1 000 в год
,59 / 83,Естественный прирост населения за 2012,-2.7,человека  на 1 000 в год
,62 / 83,Естественный прирост населения за 2011,-4,человека  на 1 000 в год
,62 / 83,Естественный прирост населения за 2010,-5.1,человека  на 1 000 в год
,60 / 83,Естественный прирост населения за 2009,-4.4,человека  на 1 000 в год
,59 / 83,Естественный прирост населения за 2008,-5,человек  на 1 000 в год
,62 / 83,Естественный прирост населения за 2007,-6.5,человека  на 1 000 в год
,60 / 83,Естественный прирост населения за 2006,-7.7,человека  на 1 000 в год
,58 / 83,Естественный прирост населения за 2005,-8.3,человека  на 1 000 в год
,57 / 83,Естественный прирост населения за 2004,-7.8,человека  на 1 000 в год
,57 / 83,Естественный прирост населения за 2003,-8.4,человека  на 1 000 в год
,55 / 82,Естественный прирост населения за 2002,-8,человек  на 1 000 в год
,52 / 82,Естественный прирост населения за 2001,-7.7,человека  на 1 000 в год
,51 / 82,Естественный прирост населения за 2000,-7.5,человека  на 1 000 в год
,47 / 82,Естественный прирост населения за 1999,-6.6,человека  на 1 000 в год
,46 / 82,Естественный прирост населения за 1998,-5.1,человека  на 1 000 в год
,50 / 82,Естественный прирост населения за 1997,-5.9,человека  на 1 000 в год
,40 / 82,Естественный прирост населения за 1996,-4.6,человека  на 1 000 в год
,39 / 82,Естественный прирост населения за 1995,-4.6,человека  на 1 000 в год
,34 / 81,Естественный прирост населения за 1994,-4.1,человека  на 1 000 в год
,35 / 81,Естественный прирост населения за 1993,-3.4,человека  на 1 000 в год
,39 / 82,Естественный прирост населения за 1992,-0.5,человека  на 1 000 в год
,42 / 82,Естественный прирост населения за 1991,1.2,человека  на 1 000 в год
,42 / 82,Естественный прирост населения за 1990,2.8,человека  на 1 000 в год
,66 / 85,Естественный прирост населения. Рождаемость  за 2017,10.1,ребенка  на 1 000 в год
,63 / 85,Естественный прирост населения. Рождаемость за 2016,11.6,ребенка  на 1 000 в год
,62 / 85,Естественный прирост населения. Рождаемость за 2015,11.9,ребенка  на 1 000 в год
,61 / 85,Естественный прирост населения. Рождаемость за 2014,11.9,ребенка  на 1 000 в год
,63 / 83,Естественный прирост населения. Рождаемость за 2013,11.6,ребенка  на 1 000 в год
,68 / 83,Естественный прирост населения. Рождаемость за 2012,11.5,ребенка  на 1 000 в год
,69 / 83,Естественный прирост населения. Рождаемость за 2011,10.8,ребенка  на 1 000 в год
,73 / 83,Естественный прирост населения. Рождаемость за 2010,10.6,ребенка  на 1 000 в год
,73 / 83,Естественный прирост населения. Рождаемость за 2009,10.5,ребенка  на 1 000 в год
,71 / 83,Естественный прирост населения. Рождаемость за 2008,10.3,ребенка  на 1 000 в год
,78 / 83,Естественный прирост населения. Рождаемость за 2007,9.3,ребенка  на 1 000 в год
,76 / 83,Естественный прирост населения. Рождаемость за 2006,8.7,ребенка  на 1 000 в год
,72 / 83,Естественный прирост населения. Рождаемость за 2005,8.6,ребенка  на 1 000 в год
,71 / 83,Естественный прирост населения. Рождаемость за 2004,9,детей  на 1 000 в год
,67 / 83,Естественный прирост населения. Рождаемость за 2003,8.9,ребенка  на 1 000 в год
,57 / 82,Естественный прирост населения. Рождаемость за 2002,8.8,ребенка  на 1 000 в год
,60 / 82,Естественный прирост населения. Рождаемость за 2001,8.1,ребенка  на 1 000 в год
,53 / 82,Естественный прирост населения. Рождаемость за 2000,8.1,ребенка  на 1 000 в год
,54 / 82,Естественный прирост населения. Рождаемость за 1999,7.8,ребенка  на 1 000 в год
,57 / 82,Естественный прирост населения. Рождаемость за 1998,8,детей  на 1 000 в год
,59 / 82,Естественный прирост населения. Рождаемость за 1997,7.8,ребенка  на 1 000 в год
,51 / 82,Естественный прирост населения. Рождаемость за 1996,8.4,ребенка  на 1 000 в год
,44 / 82,Естественный прирост населения. Рождаемость за 1995,9,детей  на 1 000 в год
,36 / 81,Естественный прирост населения. Рождаемость за 1994,9.9,ребенка  на 1 000 в год
,34 / 81,Естественный прирост населения. Рождаемость за 1993,9.8,ребенка  на 1 000 в год
,37 / 82,Естественный прирост населения. Рождаемость за 1992,10.9,ребенка  на 1 000 в год
,34 / 82,Естественный прирост населения. Рождаемость за 1991,12.5,ребенка  на 1 000 в год
,34 / 82,Естественный прирост населения. Рождаемость за 1990,14.1,ребенка  на 1 000 в год
,26 / 85,Естественный прирост населения. Смертность  за 2017,14,человек  на 1 000 в год
,24 / 85,Естественный прирост населения. Смертность за 2016,14.8,человека  на 1 000 в год
,24 / 85,Естественный прирост населения. Смертность за 2015,14.9,человека  на 1 000 в год
,24 / 83,Естественный прирост населения. Смертность за 2014,14.6,человека  на 1 000 в год
,27 / 83,Естественный прирост населения. Смертность за 2013,14.4,человека  на 1 000 в год
,32 / 83,Естественный прирост населения. Смертность за 2012,14.2,человека  на 1 000 в год
,25 / 83,Естественный прирост населения. Смертность за 2011,14.8,человека  на 1 000 в год
,26 / 83,Естественный прирост населения. Смертность за 2010,15.7,человека  на 1 000 в год
,32 / 83,Естественный прирост населения. Смертность за 2009,14.9,человека  на 1 000 в год
,34 / 83,Естественный прирост населения. Смертность за 2008,15.2,человека  на 1 000 в год
,28 / 83,Естественный прирост населения. Смертность за 2007,15.7,человека  на 1 000 в год
,30 / 83,Естественный прирост населения. Смертность за 2006,16.3,человека  на 1 000 в год
,38 / 83,Естественный прирост населения. Смертность за 2005,16.9,человека  на 1 000 в год
,35 / 83,Естественный прирост населения. Смертность за 2004,16.8,человека  на 1 000 в год
,32 / 83,Естественный прирост населения. Смертность за 2003,17.2,человека  на 1 000 в год
,32 / 82,Естественный прирост населения. Смертность за 2002,16.8,человека  на 1 000 в год
,35 / 82,Естественный прирост населения. Смертность за 2001,15.8,человека  на 1 000 в год
,34 / 82,Естественный прирост населения. Смертность за 2000,15.6,человека  на 1 000 в год
,40 / 82,Естественный прирост населения. Смертность за 1999,14.4,человека  на 1 000 в год
,43 / 82,Естественный прирост населения. Смертность за 1998,13.1,человека  на 1 000 в год
,36 / 82,Естественный прирост населения. Смертность за 1997,13.7,человека  на 1 000 в год
,53 / 82,Естественный прирост населения. Смертность за 1996,13,человек  на 1 000 в год
,49 / 82,Естественный прирост населения. Смертность за 1995,13.6,человека  на 1 000 в год
,55 / 81,Естественный прирост населения. Смертность за 1994,14,человек  на 1 000 в год
,49 / 81,Естественный прирост населения. Смертность за 1993,13.2,человека  на 1 000 в год
,46 / 82,Естественный прирост населения. Смертность за 1992,11.4,человека  на 1 000 в год
,38 / 82,Естественный прирост населения. Смертность за 1991,11.3,человека  на 1 000 в год
,35 / 82,Естественный прирост населения. Смертность за 1990,11.3,человека  на 1 000 в год
,36 / 85,Миграционный прирост населения  за 2017,-10.6,человека  на 10 000 в год
,41 / 85,Миграционный прирост населения за 2016,-5.87,человека  на 10 000 в год
,40 / 85,Миграционный прирост населения за 2015,-9.4,человека  на 10 000 в год
,49 / 83,Миграционный прирост населения за 2014,-12.39,человека  на 10 000 в год
,51 / 83,Миграционный прирост населения за 2013,-26.94,человека  на 10 000 в год
,58 / 83,Миграционный прирост населения за 2012,-32.65,человека  на 10 000 в год
,57 / 83,Миграционный прирост населения за 2011,-24.93,человека  на 10 000 в год
,57 / 83,Миграционный прирост населения за 2010,-34.91,человека  на 10 000 в год
,50 / 83,Миграционный прирост населения за 2009,-9.15,человека  на 10 000 в год
,46 / 83,Миграционный прирост населения за 2008,-7.55,человека  на 10 000 в год
,48 / 83,Миграционный прирост населения за 2007,-8.96,человека  на 10 000 в год
,56 / 83,Миграционный прирост населения за 2006,-31.93,человека  на 10 000 в год
,48 / 83,Миграционный прирост населения за 2005,-22.86,человека  на 10 000 в год
,40 / 83,Миграционный прирост населения за 2004,-12.89,человека  на 10 000 в год
,40 / 83,Миграционный прирост населения за 2003,-4.69,человека  на 10 000 в год
,68 / 83,Миграционный прирост населения за 2002,-41.5,человека  на 10 000 в год
,67 / 83,Миграционный прирост населения за 2001,-49.2,человека  на 10 000 в год
,58 / 83,Миграционный прирост населения за 2000,-22.6,человека  на 10 000 в год
,54 / 83,Миграционный прирост населения за 1999,-20.6,человека  на 10 000 в год
,61 / 83,Миграционный прирост населения за 1998,-21.3,человека  на 10 000 в год
,62 / 83,Миграционный прирост населения за 1997,-18.7,человека  на 10 000 в год
,59 / 85,Общий прирост населения,-3.77,человека  на 1 000 в год
,47 / 85,Общий прирост населения в городах,0.1787,человека  на 1 000 в год
,77 / 85,Общий прирост населения в сёлах,-15.54,человека  на 1 000 в год
,40 / 85,Численность населения  за 2019,1 238 416,человек
,40 / 85,Численность населения за 2018,1 246 618,человек
,40 / 85,Численность населения за 2017,1 252 887,человек
,40 / 85,Численность населения за 2016,1 257 621,человек
,40 / 85,Численность населения за 2015,1 262 549,человек
,39 / 83,Численность населения за 2014,1 267 561,человек
,38 / 83,Численность населения за 2013,1 274 487,человек
,38 / 83,Численность населения за 2012,1 282 094,человека
,37 / 83,Численность населения за 2011,1 290 478,человек
,37 / 83,Численность населения за 2010,1 301 689,человек
,37 / 83,Численность населения за 2009,1 308 692,человека
,36 / 83,Численность населения за 2008,1 316 217,человек
,36 / 83,Численность населения за 2007,1 325 914,человек
,36 / 83,Численность населения за 2006,1 340 335,человек
,36 / 83,Численность населения за 2005,1 354 580,человек
,36 / 83,Численность населения за 2004,1 366 879,человек
,36 / 83,Численность населения за 2003,1 378 931,человек
,36 / 83,Численность населения за 2002,1 395 882,человека
,35 / 83,Численность населения за 2001,1 413 571,человек
,35 / 83,Численность населения за 2000,1 427 375,человек
,35 / 83,Численность населения за 1999,1 439 759,человек
,35 / 83,Численность населения за 1998,1 450 080,человек
,35 / 83,Численность населения за 1997,1 461 436,человек
,34 / 83,Численность населения за 1996,1 470 364,человека
,34 / 83,Численность населения за 1995,1 472 730,человек
,35 / 83,Численность населения за 1994,1 462 824,человека
,37 / 83,Численность населения за 1993,1 447 819,человек
,37 / 83,Численность населения за 1992,1 432 140,человек
,37 / 83,Численность населения за 1991,1 421 291,человек
,38 / 85,Численность населения за 1990,1 410 878,человек
,,Б. Демографический состав,,
,75 / 85,Доля детей  за 2017,16.2,%
,75 / 85,Доля детей за 2016,15.9,%
,74 / 85,Доля детей за 2015,15.5,%
,71 / 83,Доля детей за 2014,15.2,%
,72 / 83,Доля детей за 2013,14.8,%
,69 / 83,Доля детей за 2012,14.6,%
,14 / 85,Доля пожилых  за 2017,28.2,%
,16 / 85,Доля пожилых за 2016,27.5,%
,21 / 85,Доля пожилых за 2015,26.8,%
,20 / 83,Доля пожилых за 2014,26.1,%
,22 / 83,Доля пожилых за 2013,25.5,%
,24 / 83,Доля пожилых за 2012,24.8,%
,25 / 85,Общая демографическая нагрузка  за 2018,83.01,человека  на 100 трудоспособных
,32 / 85,Общая демографическая нагрузка за 2017,79.93,человека  на 100 трудоспособных
,37 / 85,Общая демографическая нагрузка за 2016,76.73,человека  на 100 трудоспособных
,41 / 85,Общая демографическая нагрузка за 2015,73.37,человека  на 100 трудоспособных
,40 / 83,Общая демографическая нагрузка за 2014,70.37,человека  на 100 трудоспособных
,44 / 83,Общая демографическая нагрузка за 2013,67.47,человека  на 100 трудоспособных
,43 / 83,Общая демографическая нагрузка за 2012,64.91,человека  на 100 трудоспособных
,45 / 83,Общая демографическая нагрузка за 2011,62.83,человека  на 100 трудоспособных
,45 / 83,Общая демографическая нагрузка за 2010,61.32,человека  на 100 трудоспособных
,46 / 83,Общая демографическая нагрузка за 2009,59.8,человека  на 100 трудоспособных
,46 / 83,Общая демографическая нагрузка за 2008,58.99,человека  на 100 трудоспособных
,42 / 83,Общая демографическая нагрузка за 2007,58.71,человека  на 100 трудоспособных
,41 / 83,Общая демографическая нагрузка за 2006,59.12,человека  на 100 трудоспособных
,42 / 83,Общая демографическая нагрузка за 2005,60.34,человека  на 100 трудоспособных
,42 / 83,Общая демографическая нагрузка за 2004,61.79,человека  на 100 трудоспособных
,45 / 83,Общая демографическая нагрузка за 2003,63.82,человека  на 100 трудоспособных
,45 / 83,Общая демографическая нагрузка за 2002,66.18,человека  на 100 трудоспособных
,45 / 83,Общая демографическая нагрузка за 2001,67.69,человека  на 100 трудоспособных
,45 / 83,Общая демографическая нагрузка за 2000,69.99,человека  на 100 трудоспособных
,46 / 83,Общая демографическая нагрузка за 1999,72.44,человека  на 100 трудоспособных
,45 / 83,Общая демографическая нагрузка за 1998,74.15,человека  на 100 трудоспособных
,45 / 83,Общая демографическая нагрузка за 1997,75.49,человека  на 100 трудоспособных
,47 / 83,Общая демографическая нагрузка за 1996,75.94,человека  на 100 трудоспособных
,49 / 83,Общая демографическая нагрузка за 1995,76.53,человека  на 100 трудоспособных
,49 / 83,Общая демографическая нагрузка за 1994,77.45,человека  на 100 трудоспособных
,51 / 83,Общая демографическая нагрузка за 1993,78,человек  на 100 трудоспособных
,51 / 83,Общая демографическая нагрузка за 1992,77.74,человека  на 100 трудоспособных
,53 / 83,Общая демографическая нагрузка за 1991,77.21,человека  на 100 трудоспособных
,53 / 83,Общая демографическая нагрузка за 1990,76.34,человека  на 100 трудоспособных
,40 / 83,Приток (отток) постоянного населения за 2010,5.89,%  от числа ныне живущих в регионе
,56 / 83,Процент людей с высшим образованием за 2010,18,%
,61 / 85,Процент мужчин,45.97,%
,59 / 85,Процент русских,73.58,%
,15 / 85,Средний возраст,41.64,года
,35 / 85,Урбанизация  за 2018,75.3,%
,35 / 85,Урбанизация за 2017,75,%
,35 / 85,Урбанизация за 2016,74.7,%
,36 / 85,Урбанизация за 2015,74.5,%
,35 / 83,Урбанизация за 2014,74.2,%
,35 / 83,Урбанизация за 2013,74,%
,35 / 83,Урбанизация за 2012,73.8,%
,35 / 83,Урбанизация за 2011,73.6,%
,35 / 83,Урбанизация за 2010,73.3,%
,34 / 83,Урбанизация за 2009,73.5,%
,34 / 83,Урбанизация за 2008,73.4,%
,34 / 83,Урбанизация за 2007,73.2,%
,34 / 83,Урбанизация за 2006,73,%
,34 / 83,Урбанизация за 2005,72.9,%
,34 / 83,Урбанизация за 2004,72.8,%
,34 / 83,Урбанизация за 2003,73.19,%
,34 / 83,Урбанизация за 2002,73.1,%
,34 / 83,Урбанизация за 2001,73.01,%
,34 / 83,Урбанизация за 2000,72.88,%
,34 / 83,Урбанизация за 1999,72.82,%
,34 / 83,Урбанизация за 1998,72.78,%
,34 / 83,Урбанизация за 1997,72.67,%
,34 / 83,Урбанизация за 1996,72.52,%
,35 / 83,Урбанизация за 1995,72.4,%
,35 / 83,Урбанизация за 1994,72.16,%
,35 / 83,Урбанизация за 1993,72.07,%
,36 / 83,Урбанизация за 1992,72.19,%
,35 / 83,Урбанизация за 1991,72.03,%
,35 / 83,Урбанизация за 1990,71.78,%
,,В0. Здоровье,,
,7 / 85,Заболеваемость ВИЧ  за 2016,125.3,случая  на 100 000 человек
,15 / 84,Заболеваемость ВИЧ за 2015,95.1,случая  на 100 000 человек
,17 / 85,Заболеваемость ВИЧ за 2014,81.3,случая  на 100 000 человек
,18 / 83,Заболеваемость ВИЧ за 2013,69.4,случая  на 100 000 человек
,14 / 83,Заболеваемость ВИЧ за 2012,74,случая  на 100 000 человек
,12 / 83,Заболеваемость ВИЧ за 2011,69.9,случая  на 100 000 человек
,6 / 83,Заболеваемость ВИЧ за 2010,90.3,случая  на 100 000 человек
,9 / 83,Заболеваемость ВИЧ за 2009,62.6,случая  на 100 000 человек
,1 / 83,Заболеваемость ВИЧ за 2008,136.2,случая  на 100 000 человек
,11 / 83,Заболеваемость ВИЧ за 2007,44.1,случая  на 100 000 человек
,11 / 82,Заболеваемость ВИЧ за 2006,33.9,случая  на 100 000 человек
,11 / 82,Заболеваемость ВИЧ за 2005,35.6,случая  на 100 000 человек
,29 / 85,Заболеваемость ожирением  за 2017,349.3,случая  на 100 тыс. человек
,64 / 84,Заболеваемость ожирением за 2016,210.6,случая  на 100 тыс. человек
,66 / 85,Заболеваемость ожирением за 2015,211.6,случая  на 100 тыс. человек
,46 / 85,Заболеваемость ожирением за 2014,208.9,случая  на 100 тыс. человек
,45 / 83,Заболеваемость ожирением за 2013,185.9,случая  на 100 тыс. человек
,63 / 85,Заболеваемость психическими расстройствами  за 2016,187.3,случая  на 100 000 человек
,67 / 85,Заболеваемость психическими расстройствами за 2015,188.3,случая  на 100 000 человек
,67 / 85,Заболеваемость психическими расстройствами за 2014,191.8,случая  на 100 000 человек
,69 / 83,Заболеваемость психическими расстройствами за 2013,183.1,случая  на 100 000 человек
,67 / 83,Заболеваемость психическими расстройствами за 2012,186.1,случая  на 100 000 человек
,69 / 83,Заболеваемость психическими расстройствами за 2011,192.7,случая  на 100 000 человек
,56 / 83,Заболеваемость психическими расстройствами за 2010,252.9,случая  на 100 000 человек
,57 / 83,Заболеваемость психическими расстройствами за 2009,250,случаев  на 100 000 человек
,52 / 83,Заболеваемость психическими расстройствами за 2008,274,случая  на 100 000 человек
,49 / 83,Заболеваемость психическими расстройствами за 2007,299.2,случая  на 100 000 человек
