,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,43 / 85,Естественный прирост населения  за 2017,-1.5,человека  на 1 000 в год
,44 / 85,Естественный прирост населения за 2016,-0.3,человека  на 1 000 в год
,42 / 85,Естественный прирост населения за 2015,0,человек  на 1 000 в год
,40 / 85,Естественный прирост населения за 2014,0.4,человека  на 1 000 в год
,42 / 83,Естественный прирост населения за 2013,0.2,человека  на 1 000 в год
,38 / 83,Естественный прирост населения за 2012,0.2,человека  на 1 000 в год
,34 / 83,Естественный прирост населения за 2011,-0.6,человека  на 1 000 в год
,35 / 83,Естественный прирост населения за 2010,-1,человек  на 1 000 в год
,37 / 83,Естественный прирост населения за 2009,-1.3,человека  на 1 000 в год
,38 / 83,Естественный прирост населения за 2008,-2.2,человека  на 1 000 в год
,41 / 83,Естественный прирост населения за 2007,-3.1,человека  на 1 000 в год
,41 / 83,Естественный прирост населения за 2006,-4.6,человека  на 1 000 в год
,40 / 83,Естественный прирост населения за 2005,-5.9,человека  на 1 000 в год
,44 / 83,Естественный прирост населения за 2004,-5.5,человека  на 1 000 в год
,45 / 83,Естественный прирост населения за 2003,-6.1,человека  на 1 000 в год
,43 / 82,Естественный прирост населения за 2002,-6.3,человека  на 1 000 в год
,44 / 82,Естественный прирост населения за 2001,-6.3,человека  на 1 000 в год
,45 / 82,Естественный прирост населения за 2000,-6.6,человека  на 1 000 в год
,42 / 82,Естественный прирост населения за 1999,-5.9,человека  на 1 000 в год
,40 / 82,Естественный прирост населения за 1998,-4,человека  на 1 000 в год
,40 / 82,Естественный прирост населения за 1997,-4.6,человека  на 1 000 в год
,41 / 82,Естественный прирост населения за 1996,-5.1,человека  на 1 000 в год
,48 / 82,Естественный прирост населения за 1995,-5.9,человека  на 1 000 в год
,43 / 81,Естественный прирост населения за 1994,-5.8,человека  на 1 000 в год
,42 / 81,Естественный прирост населения за 1993,-4.5,человека  на 1 000 в год
,42 / 82,Естественный прирост населения за 1992,-1.1,человека  на 1 000 в год
,42 / 82,Естественный прирост населения за 1991,1.2,человека  на 1 000 в год
,45 / 82,Естественный прирост населения за 1990,2.7,человека  на 1 000 в год
,37 / 85,Естественный прирост населения. Рождаемость  за 2017,11.5,ребенка  на 1 000 в год
,32 / 85,Естественный прирост населения. Рождаемость за 2016,13.3,ребенка  на 1 000 в год
,30 / 85,Естественный прирост населения. Рождаемость за 2015,13.9,ребенка  на 1 000 в год
,27 / 85,Естественный прирост населения. Рождаемость за 2014,14.2,ребенка  на 1 000 в год
,29 / 83,Естественный прирост населения. Рождаемость за 2013,14.1,ребенка  на 1 000 в год
,26 / 83,Естественный прирост населения. Рождаемость за 2012,14.4,ребенка  на 1 000 в год
,24 / 83,Естественный прирост населения. Рождаемость за 2011,13.6,ребенка  на 1 000 в год
,27 / 83,Естественный прирост населения. Рождаемость за 2010,13.4,ребенка  на 1 000 в год
,30 / 83,Естественный прирост населения. Рождаемость за 2009,13,детей  на 1 000 в год
,27 / 83,Естественный прирост населения. Рождаемость за 2008,12.8,ребенка  на 1 000 в год
,31 / 83,Естественный прирост населения. Рождаемость за 2007,11.8,ребенка  на 1 000 в год
,35 / 83,Естественный прирост населения. Рождаемость за 2006,10.8,ребенка  на 1 000 в год
,38 / 83,Естественный прирост населения. Рождаемость за 2005,10.4,ребенка  на 1 000 в год
,37 / 83,Естественный прирост населения. Рождаемость за 2004,10.7,ребенка  на 1 000 в год
,39 / 83,Естественный прирост населения. Рождаемость за 2003,10.4,ребенка  на 1 000 в год
,36 / 82,Естественный прирост населения. Рождаемость за 2002,10.1,ребенка  на 1 000 в год
,42 / 82,Естественный прирост населения. Рождаемость за 2001,9.3,ребенка  на 1 000 в год
,40 / 82,Естественный прирост населения. Рождаемость за 2000,8.9,ребенка  на 1 000 в год
,39 / 82,Естественный прирост населения. Рождаемость за 1999,8.5,ребенка  на 1 000 в год
,39 / 82,Естественный прирост населения. Рождаемость за 1998,8.9,ребенка  на 1 000 в год
,40 / 82,Естественный прирост населения. Рождаемость за 1997,8.5,ребенка  на 1 000 в год
,43 / 82,Естественный прирост населения. Рождаемость за 1996,8.7,ребенка  на 1 000 в год
,44 / 82,Естественный прирост населения. Рождаемость за 1995,9,детей  на 1 000 в год
,51 / 81,Естественный прирост населения. Рождаемость за 1994,9.1,ребенка  на 1 000 в год
,53 / 81,Естественный прирост населения. Рождаемость за 1993,8.9,ребенка  на 1 000 в год
,49 / 82,Естественный прирост населения. Рождаемость за 1992,10.3,ребенка  на 1 000 в год
,49 / 82,Естественный прирост населения. Рождаемость за 1991,11.7,ребенка  на 1 000 в год
,47 / 82,Естественный прирост населения. Рождаемость за 1990,13.1,ребенка  на 1 000 в год
,43 / 85,Естественный прирост населения. Смертность  за 2017,13,человек  на 1 000 в год
,41 / 85,Естественный прирост населения. Смертность за 2016,13.6,человека  на 1 000 в год
,37 / 85,Естественный прирост населения. Смертность за 2015,13.9,человека  на 1 000 в год
,38 / 83,Естественный прирост населения. Смертность за 2014,13.8,человека  на 1 000 в год
,33 / 83,Естественный прирост населения. Смертность за 2013,13.9,человека  на 1 000 в год
,32 / 83,Естественный прирост населения. Смертность за 2012,14.2,человека  на 1 000 в год
,37 / 83,Естественный прирост населения. Смертность за 2011,14.2,человека  на 1 000 в год
,43 / 83,Естественный прирост населения. Смертность за 2010,14.4,человека  на 1 000 в год
,41 / 83,Естественный прирост населения. Смертность за 2009,14.4,человека  на 1 000 в год
,36 / 83,Естественный прирост населения. Смертность за 2008,15.1,человека  на 1 000 в год
,36 / 83,Естественный прирост населения. Смертность за 2007,15,человек  на 1 000 в год
,37 / 83,Естественный прирост населения. Смертность за 2006,15.5,человека  на 1 000 в год
,43 / 83,Естественный прирост населения. Смертность за 2005,16.4,человека  на 1 000 в год
,39 / 83,Естественный прирост населения. Смертность за 2004,16.3,человека  на 1 000 в год
,38 / 83,Естественный прирост населения. Смертность за 2003,16.6,человека  на 1 000 в год
,37 / 82,Естественный прирост населения. Смертность за 2002,16.4,человека  на 1 000 в год
,38 / 82,Естественный прирост населения. Смертность за 2001,15.6,человека  на 1 000 в год
,35 / 82,Естественный прирост населения. Смертность за 2000,15.5,человека  на 1 000 в год
,40 / 82,Естественный прирост населения. Смертность за 1999,14.4,человека  на 1 000 в год
,46 / 82,Естественный прирост населения. Смертность за 1998,12.9,человека  на 1 000 в год
,43 / 82,Естественный прирост населения. Смертность за 1997,13.1,человека  на 1 000 в год
,43 / 82,Естественный прирост населения. Смертность за 1996,13.8,человека  на 1 000 в год
,35 / 82,Естественный прирост населения. Смертность за 1995,14.9,человека  на 1 000 в год
,43 / 81,Естественный прирост населения. Смертность за 1994,14.9,человека  на 1 000 в год
,45 / 81,Естественный прирост населения. Смертность за 1993,13.4,человека  на 1 000 в год
,46 / 82,Естественный прирост населения. Смертность за 1992,11.4,человека  на 1 000 в год
,44 / 82,Естественный прирост населения. Смертность за 1991,10.5,человека  на 1 000 в год
,44 / 82,Естественный прирост населения. Смертность за 1990,10.4,человека  на 1 000 в год
,37 / 85,Миграционный прирост населения  за 2017,-10.98,человека  на 10 000 в год
,26 / 85,Миграционный прирост населения за 2016,7.64,человека  на 10 000 в год
,22 / 85,Миграционный прирост населения за 2015,9.62,человека  на 10 000 в год
,23 / 83,Миграционный прирост населения за 2014,16.43,человека  на 10 000 в год
,22 / 83,Миграционный прирост населения за 2013,11.8,человека  на 10 000 в год
,23 / 83,Миграционный прирост населения за 2012,13.38,человека  на 10 000 в год
,31 / 83,Миграционный прирост населения за 2011,18.9,человека  на 10 000 в год
,30 / 83,Миграционный прирост населения за 2010,-7.8,человека  на 10 000 в год
,38 / 83,Миграционный прирост населения за 2009,4.29,человека  на 10 000 в год
,33 / 83,Миграционный прирост населения за 2008,9.78,человека  на 10 000 в год
,36 / 83,Миграционный прирост населения за 2007,8.88,человека  на 10 000 в год
,40 / 83,Миграционный прирост населения за 2006,-9.52,человека  на 10 000 в год
,38 / 83,Миграционный прирост населения за 2005,-11.74,человека  на 10 000 в год
,48 / 83,Миграционный прирост населения за 2004,-21.4,человека  на 10 000 в год
,47 / 83,Миграционный прирост населения за 2003,-17.97,человека  на 10 000 в год
,38 / 83,Миграционный прирост населения за 2002,-3.8,человека  на 10 000 в год
,31 / 83,Миграционный прирост населения за 2001,0.6,человека  на 10 000 в год
,22 / 83,Миграционный прирост населения за 2000,21.7,человека  на 10 000 в год
,20 / 83,Миграционный прирост населения за 1999,27.4,человека  на 10 000 в год
,18 / 83,Миграционный прирост населения за 1998,45.3,человека  на 10 000 в год
,19 / 83,Миграционный прирост населения за 1997,51.5,человека  на 10 000 в год
,33 / 85,Общий прирост населения,0.46,человека  на 1 000 в год
,39 / 85,Общий прирост населения в городах,0.8647,человека  на 1 000 в год
,28 / 85,Общий прирост населения в сёлах,-1.468,человека  на 1 000 в год
,9 / 85,Численность населения  за 2019,3 475 753,человека
,9 / 85,Численность населения за 2018,3 493 036,человек
,9 / 85,Численность населения за 2017,3 502 323,человека
,9 / 85,Численность населения за 2016,3 500 716,человек
,9 / 85,Численность населения за 2015,3 497 274,человека
,9 / 83,Численность населения за 2014,3 490 053,человека
,9 / 83,Численность населения за 2013,3 485 272,человека
,9 / 83,Численность населения за 2012,3 480 142,человека
,9 / 83,Численность населения за 2011,3 475 634,человека
,9 / 83,Численность населения за 2010,3 481 818,человек
,9 / 83,Численность населения за 2009,3 484 809,человек
,9 / 83,Численность населения за 2008,3 489 092,человека
,9 / 83,Численность населения за 2007,3 496 983,человека
,9 / 83,Численность населения за 2006,3 516 661,человек
,9 / 83,Численность населения за 2005,3 541 787,человек
,9 / 83,Численность населения за 2004,3 569 284,человека
,9 / 83,Численность населения за 2003,3 597 659,человек
,9 / 83,Численность населения за 2002,3 621 426,человек
,9 / 83,Численность населения за 2001,3 643 949,человек
,9 / 83,Численность населения за 2000,3 660 112,человек
,9 / 83,Численность населения за 1999,3 671 985,человек
,10 / 83,Численность населения за 1998,3 670 174,человека
,10 / 83,Численность населения за 1997,3 668 236,человек
,10 / 83,Численность населения за 1996,3 679 343,человека
,10 / 83,Численность населения за 1995,3 690 940,человек
,10 / 83,Численность населения за 1994,3 682 673,человека
,10 / 83,Численность населения за 1993,3 700 052,человека
,9 / 83,Численность населения за 1992,3 703 516,человек
,9 / 83,Численность населения за 1991,3 706 378,человек
,9 / 85,Численность населения за 1990,3 701 694,человека
,,Б. Демографический состав,,
,31 / 85,Доля детей  за 2017,19.2,%
,32 / 85,Доля детей за 2016,18.8,%
,32 / 85,Доля детей за 2015,18.3,%
,34 / 83,Доля детей за 2014,17.9,%
,35 / 83,Доля детей за 2013,17.4,%
,40 / 83,Доля детей за 2012,16.9,%
,40 / 85,Доля пожилых  за 2017,25.3,%
,41 / 85,Доля пожилых за 2016,24.9,%
,41 / 85,Доля пожилых за 2015,24.5,%
,40 / 83,Доля пожилых за 2014,24,%
,39 / 83,Доля пожилых за 2013,23.6,%
,38 / 83,Доля пожилых за 2012,23.2,%
,32 / 85,Общая демографическая нагрузка  за 2018,82.24,человека  на 100 трудоспособных
,30 / 85,Общая демографическая нагрузка за 2017,80.05,человека  на 100 трудоспособных
,28 / 85,Общая демографическая нагрузка за 2016,77.61,человека  на 100 трудоспособных
,29 / 85,Общая демографическая нагрузка за 2015,74.67,человека  на 100 трудоспособных
,26 / 83,Общая демографическая нагрузка за 2014,72.02,человека  на 100 трудоспособных
,26 / 83,Общая демографическая нагрузка за 2013,69.41,человека  на 100 трудоспособных
,30 / 83,Общая демографическая нагрузка за 2012,66.89,человека  на 100 трудоспособных
,31 / 83,Общая демографическая нагрузка за 2011,64.78,человека  на 100 трудоспособных
,32 / 83,Общая демографическая нагрузка за 2010,62.96,человека  на 100 трудоспособных
,34 / 83,Общая демографическая нагрузка за 2009,61.05,человека  на 100 трудоспособных
,32 / 83,Общая демографическая нагрузка за 2008,60.23,человека  на 100 трудоспособных
,34 / 83,Общая демографическая нагрузка за 2007,59.62,человека  на 100 трудоспособных
,39 / 83,Общая демографическая нагрузка за 2006,59.54,человека  на 100 трудоспособных
,43 / 83,Общая демографическая нагрузка за 2005,60.06,человека  на 100 трудоспособных
,46 / 83,Общая демографическая нагрузка за 2004,61.04,человека  на 100 трудоспособных
,46 / 83,Общая демографическая нагрузка за 2003,62.83,человека  на 100 трудоспособных
,47 / 83,Общая демографическая нагрузка за 2002,64.83,человека  на 100 трудоспособных
,48 / 83,Общая демографическая нагрузка за 2001,66.54,человека  на 100 трудоспособных
,48 / 83,Общая демографическая нагрузка за 2000,68.96,человека  на 100 трудоспособных
,47 / 83,Общая демографическая нагрузка за 1999,71.69,человека  на 100 трудоспособных
,48 / 83,Общая демографическая нагрузка за 1998,73.68,человека  на 100 трудоспособных
,46 / 83,Общая демографическая нагрузка за 1997,75.14,человека  на 100 трудоспособных
,49 / 83,Общая демографическая нагрузка за 1996,75.77,человека  на 100 трудоспособных
,50 / 83,Общая демографическая нагрузка за 1995,76.16,человека  на 100 трудоспособных
,52 / 83,Общая демографическая нагрузка за 1994,76.83,человека  на 100 трудоспособных
,53 / 83,Общая демографическая нагрузка за 1993,77.32,человека  на 100 трудоспособных
,54 / 83,Общая демографическая нагрузка за 1992,77.24,человека  на 100 трудоспособных
,55 / 83,Общая демографическая нагрузка за 1991,76.9,человека  на 100 трудоспособных
,55 / 83,Общая демографическая нагрузка за 1990,76.27,человека  на 100 трудоспособных
,32 / 83,Приток (отток) постоянного населения за 2010,10.45,%  от числа ныне живущих в регионе
,42 / 83,Процент людей с высшим образованием за 2010,19,%
,67 / 85,Процент мужчин,45.8,%
,53 / 85,Процент русских,83.8,%
,45 / 85,Средний возраст,39.4,года
,10 / 85,Урбанизация  за 2018,82.7,%
,10 / 85,Урбанизация за 2017,82.6,%
,10 / 85,Урбанизация за 2016,82.6,%
,10 / 85,Урбанизация за 2015,82.5,%
,9 / 83,Урбанизация за 2014,82.4,%
,9 / 83,Урбанизация за 2013,82.2,%
,9 / 83,Урбанизация за 2012,82.1,%
,10 / 83,Урбанизация за 2011,82,%
,10 / 83,Урбанизация за 2010,81.9,%
,10 / 83,Урбанизация за 2009,81.9,%
,10 / 83,Урбанизация за 2008,81.8,%
,9 / 83,Урбанизация за 2007,81.8,%
,9 / 83,Урбанизация за 2006,81.7,%
,9 / 83,Урбанизация за 2005,82.1,%
,11 / 83,Урбанизация за 2004,81.9,%
,11 / 83,Урбанизация за 2003,81.82,%
,11 / 83,Урбанизация за 2002,81.73,%
,11 / 83,Урбанизация за 2001,81.58,%
,11 / 83,Урбанизация за 2000,81.5,%
,11 / 83,Урбанизация за 1999,81.48,%
,11 / 83,Урбанизация за 1998,81.46,%
,11 / 83,Урбанизация за 1997,81.45,%
,11 / 83,Урбанизация за 1996,81.38,%
,11 / 83,Урбанизация за 1995,81.33,%
,12 / 83,Урбанизация за 1994,81.31,%
,13 / 83,Урбанизация за 1993,81.38,%
,11 / 83,Урбанизация за 1992,82.1,%
,9 / 83,Урбанизация за 1991,82.77,%
,9 / 83,Урбанизация за 1990,82.82,%
,,В0. Здоровье,,
,10 / 85,Заболеваемость ВИЧ  за 2016,108.4,случая  на 100 000 человек
,6 / 84,Заболеваемость ВИЧ за 2015,135.8,случая  на 100 000 человек
,7 / 85,Заболеваемость ВИЧ за 2014,117.1,случая  на 100 000 человек
,11 / 83,Заболеваемость ВИЧ за 2013,87.9,случая  на 100 000 человек
,11 / 83,Заболеваемость ВИЧ за 2012,80.6,случая  на 100 000 человек
,14 / 83,Заболеваемость ВИЧ за 2011,63.8,случая  на 100 000 человек
,13 / 83,Заболеваемость ВИЧ за 2010,49.5,случая  на 100 000 человек
,20 / 83,Заболеваемость ВИЧ за 2009,42.9,случая  на 100 000 человек
,14 / 83,Заболеваемость ВИЧ за 2008,44.1,случая  на 100 000 человек
,7 / 83,Заболеваемость ВИЧ за 2007,56.9,случая  на 100 000 человек
,8 / 82,Заболеваемость ВИЧ за 2006,40.8,случая  на 100 000 человек
,8 / 82,Заболеваемость ВИЧ за 2005,40.5,случая  на 100 000 человек
,62 / 85,Заболеваемость ожирением  за 2017,229.7,случая  на 100 тыс. человек
,62 / 84,Заболеваемость ожирением за 2016,223.1,случая  на 100 тыс. человек
,53 / 85,Заболеваемость ожирением за 2015,271.4,случая  на 100 тыс. человек
,48 / 85,Заболеваемость ожирением за 2014,205.5,случая  на 100 тыс. человек
,61 / 83,Заболеваемость ожирением за 2013,146.1,случая  на 100 тыс. человек
,10 / 85,Заболеваемость психическими расстройствами  за 2016,473.4,случая  на 100 000 человек
,10 / 85,Заболеваемость психическими расстройствами за 2015,496.9,случая  на 100 000 человек
,15 / 85,Заболеваемость психическими расстройствами за 2014,425.4,случая  на 100 000 человек
,12 / 83,Заболеваемость психическими расстройствами за 2013,447.2,случая  на 100 000 человек
,9 / 83,Заболеваемость психическими расстройствами за 2012,487,случаев  на 100 000 человек
,7 / 83,Заболеваемость психическими расстройствами за 2011,535.4,случая  на 100 000 человек
,6 / 83,Заболеваемость психическими расстройствами за 2010,540.9,случая  на 100 000 человек
,9 / 83,Заболеваемость психическими расстройствами за 2009,543.6,случая  на 100 000 человек
,10 / 83,Заболеваемость психическими расстройствами за 2008,526.5,случая  на 100 000 человек
,10 / 83,Заболеваемость психическими расстройствами за 2007,512.6,случая  на 100 000 человек
,21 / 83,Заболеваемость психическими расстройствами за 2006,454.1,случая  на 100 000 человек
,23 / 83,Заболеваемость психическими расстройствами за 2005,467.2,случая  на 100 000 человек
,37 / 85,Заболеваемость раком  за 2016,438.1,случая  на 100 000 человек
,18 / 85,Заболеваемость раком за 2015,463.3,случая  на 100 000 человек
,37 / 85,Заболеваемость раком за 2014,422,случая  на 100 000 человек
,33 / 83,Заболеваемость раком за 2013,409.7,случая  на 100 000 человек
,29 / 83,Заболеваемость раком за 2012,407.7,случая  на 100 000 человек
,20 / 83,Заболеваемость раком за 2011,412.9,случая  на 100 000 человек
,23 / 83,Заболеваемость раком за 2010,401.8,случая  на 100 000 человек
,21 / 83,Заболеваемость раком за 2009,394.3,случая  на 100 000 человек
,16 / 83,Заболеваемость раком за 2008,397.1,случая  на 100 000 человек
,14 / 83,Заболеваемость раком за 2007,393.3,случая  на 100 000 человек
,12 / 83,Заболеваемость раком за 2006,384.5,случая  на 100 000 человек
,10 / 82,Заболеваемость раком за 2005,380.7,случая  на 100 000 человек
,49 / 85,Заболеваемость сифилисом  за 2016,15.5,случая  на 100 000 человек
,61 / 85,Заболеваемость сифилисом за 2015,14.2,случая  на 100 000 человек
,55 / 85,Заболеваемость сифилисом за 2014,17.6,случая  на 100 000 человек
