,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,16 / 85,Естественный прирост населения  за 2017,1.7,человека  на 1 000 в год
,18 / 85,Естественный прирост населения за 2016,2.3,человека  на 1 000 в год
,18 / 85,Естественный прирост населения за 2015,2.5,человека  на 1 000 в год
,16 / 85,Естественный прирост населения за 2014,3.5,человека  на 1 000 в год
,16 / 83,Естественный прирост населения за 2013,3.4,человека  на 1 000 в год
,16 / 83,Естественный прирост населения за 2012,3.1,человека  на 1 000 в год
,17 / 83,Естественный прирост населения за 2011,2.2,человека  на 1 000 в год
,16 / 83,Естественный прирост населения за 2010,2.1,человека  на 1 000 в год
,16 / 83,Естественный прирост населения за 2009,2.2,человека  на 1 000 в год
,17 / 83,Естественный прирост населения за 2008,1.6,человека  на 1 000 в год
,17 / 83,Естественный прирост населения за 2007,0.5,человека  на 1 000 в год
,18 / 83,Естественный прирост населения за 2006,-1.6,человека  на 1 000 в год
,23 / 83,Естественный прирост населения за 2005,-3.7,человека  на 1 000 в год
,23 / 83,Естественный прирост населения за 2004,-3.3,человека  на 1 000 в год
,20 / 83,Естественный прирост населения за 2003,-3.3,человека  на 1 000 в год
,19 / 82,Естественный прирост населения за 2002,-3.1,человека  на 1 000 в год
,18 / 82,Естественный прирост населения за 2001,-2.8,человека  на 1 000 в год
,18 / 82,Естественный прирост населения за 2000,-2.7,человека  на 1 000 в год
,20 / 82,Естественный прирост населения за 1999,-2.8,человека  на 1 000 в год
,16 / 82,Естественный прирост населения за 1998,0.2,человека  на 1 000 в год
,18 / 82,Естественный прирост населения за 1997,-1.1,человека  на 1 000 в год
,17 / 82,Естественный прирост населения за 1996,-1.2,человека  на 1 000 в год
,16 / 82,Естественный прирост населения за 1995,-0.6,человека  на 1 000 в год
,15 / 81,Естественный прирост населения за 1994,-1.6,человека  на 1 000 в год
,14 / 81,Естественный прирост населения за 1993,-0.3,человека  на 1 000 в год
,15 / 82,Естественный прирост населения за 1992,4.1,человека  на 1 000 в год
