,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,68 / 85,Естественный прирост населения  за 2017,-4.7,человека  на 1 000 в год
,67 / 85,Естественный прирост населения за 2016,-3.6,человека  на 1 000 в год
,67 / 85,Естественный прирост населения за 2015,-3.4,человека  на 1 000 в год
,67 / 85,Естественный прирост населения за 2014,-3.6,человека  на 1 000 в год
,65 / 83,Естественный прирост населения за 2013,-3.7,человека  на 1 000 в год
,65 / 83,Естественный прирост населения за 2012,-4,человека  на 1 000 в год
,66 / 83,Естественный прирост населения за 2011,-4.7,человека  на 1 000 в год
,67 / 83,Естественный прирост населения за 2010,-6,человек  на 1 000 в год
,66 / 83,Естественный прирост населения за 2009,-5.7,человека  на 1 000 в год
,69 / 83,Естественный прирост населения за 2008,-7,человек  на 1 000 в год
,68 / 83,Естественный прирост населения за 2007,-7.6,человека  на 1 000 в год
,67 / 83,Естественный прирост населения за 2006,-8.9,человека  на 1 000 в год
,69 / 83,Естественный прирост населения за 2005,-10.7,человека  на 1 000 в год
,72 / 83,Естественный прирост населения за 2004,-10.6,человека  на 1 000 в год
,74 / 83,Естественный прирост населения за 2003,-11.7,человека  на 1 000 в год
,73 / 82,Естественный прирост населения за 2002,-11.9,человека  на 1 000 в год
,73 / 82,Естественный прирост населения за 2001,-11.5,человека  на 1 000 в год
,70 / 82,Естественный прирост населения за 2000,-10.7,человека  на 1 000 в год
,75 / 82,Естественный прирост населения за 1999,-11.6,человека  на 1 000 в год
,74 / 82,Естественный прирост населения за 1998,-9,человек  на 1 000 в год
,74 / 82,Естественный прирост населения за 1997,-9.3,человека  на 1 000 в год
,76 / 82,Естественный прирост населения за 1996,-9.8,человека  на 1 000 в год
,74 / 82,Естественный прирост населения за 1995,-9.8,человека  на 1 000 в год
,75 / 81,Естественный прирост населения за 1994,-11.1,человека  на 1 000 в год
,75 / 81,Естественный прирост населения за 1993,-9.9,человека  на 1 000 в год
,79 / 82,Естественный прирост населения за 1992,-6.4,человека  на 1 000 в год
,73 / 82,Естественный прирост населения за 1991,-3.7,человека  на 1 000 в год
,72 / 82,Естественный прирост населения за 1990,-1.9,человека  на 1 000 в год
,58 / 85,Естественный прирост населения. Рождаемость  за 2017,10.5,ребенка  на 1 000 в год
,50 / 85,Естественный прирост населения. Рождаемость за 2016,12.1,ребенка  на 1 000 в год
,58 / 85,Естественный прирост населения. Рождаемость за 2015,12.2,ребенка  на 1 000 в год
,61 / 85,Естественный прирост населения. Рождаемость за 2014,11.9,ребенка  на 1 000 в год
,55 / 83,Естественный прирост населения. Рождаемость за 2013,12.1,ребенка  на 1 000 в год
,58 / 83,Естественный прирост населения. Рождаемость за 2012,11.9,ребенка  на 1 000 в год
,60 / 83,Естественный прирост населения. Рождаемость за 2011,11.1,ребенка  на 1 000 в год
,59 / 83,Естественный прирост населения. Рождаемость за 2010,11.2,ребенка  на 1 000 в год
,63 / 83,Естественный прирост населения. Рождаемость за 2009,10.9,ребенка  на 1 000 в год
,68 / 83,Естественный прирост населения. Рождаемость за 2008,10.4,ребенка  на 1 000 в год
,67 / 83,Естественный прирост населения. Рождаемость за 2007,9.9,ребенка  на 1 000 в год
,62 / 83,Естественный прирост населения. Рождаемость за 2006,9.4,ребенка  на 1 000 в год
,59 / 83,Естественный прирост населения. Рождаемость за 2005,9.2,ребенка  на 1 000 в год
,59 / 83,Естественный прирост населения. Рождаемость за 2004,9.4,ребенка  на 1 000 в год
,61 / 83,Естественный прирост населения. Рождаемость за 2003,9.1,ребенка  на 1 000 в год
,62 / 82,Естественный прирост населения. Рождаемость за 2002,8.6,ребенка  на 1 000 в год
,60 / 82,Естественный прирост населения. Рождаемость за 2001,8.1,ребенка  на 1 000 в год
,74 / 82,Естественный прирост населения. Рождаемость за 2000,7.3,ребенка  на 1 000 в год
,75 / 82,Естественный прирост населения. Рождаемость за 1999,6.8,ребенка  на 1 000 в год
,74 / 82,Естественный прирост населения. Рождаемость за 1998,7.3,ребенка  на 1 000 в год
,75 / 82,Естественный прирост населения. Рождаемость за 1997,7.1,ребенка  на 1 000 в год
,75 / 82,Естественный прирост населения. Рождаемость за 1996,7.3,ребенка  на 1 000 в год
,75 / 82,Естественный прирост населения. Рождаемость за 1995,7.6,ребенка  на 1 000 в год
,74 / 81,Естественный прирост населения. Рождаемость за 1994,7.8,ребенка  на 1 000 в год
,76 / 81,Естественный прирост населения. Рождаемость за 1993,7.2,ребенка  на 1 000 в год
,77 / 82,Естественный прирост населения. Рождаемость за 1992,8.3,ребенка  на 1 000 в год
,78 / 82,Естественный прирост населения. Рождаемость за 1991,9.7,ребенка  на 1 000 в год
,75 / 82,Естественный прирост населения. Рождаемость за 1990,11.3,ребенка  на 1 000 в год
,12 / 85,Естественный прирост населения. Смертность  за 2017,15.2,человека  на 1 000 в год
,13 / 85,Естественный прирост населения. Смертность за 2016,15.7,человека  на 1 000 в год
,15 / 85,Естественный прирост населения. Смертность за 2015,15.6,человека  на 1 000 в год
,17 / 83,Естественный прирост населения. Смертность за 2014,15.5,человека  на 1 000 в год
,15 / 83,Естественный прирост населения. Смертность за 2013,15.8,человека  на 1 000 в год
,16 / 83,Естественный прирост населения. Смертность за 2012,15.9,человека  на 1 000 в год
,16 / 83,Естественный прирост населения. Смертность за 2011,15.8,человека  на 1 000 в год
,14 / 83,Естественный прирост населения. Смертность за 2010,17.2,человека  на 1 000 в год
,16 / 83,Естественный прирост населения. Смертность за 2009,16.9,человека  на 1 000 в год
,13 / 83,Естественный прирост населения. Смертность за 2008,17.7,человека  на 1 000 в год
,13 / 83,Естественный прирост населения. Смертность за 2007,17.8,человека  на 1 000 в год
,14 / 83,Естественный прирост населения. Смертность за 2006,18.5,человека  на 1 000 в год
,10 / 83,Естественный прирост населения. Смертность за 2005,20.1,человека  на 1 000 в год
,8 / 83,Естественный прирост населения. Смертность за 2004,20.1,человека  на 1 000 в год
,10 / 83,Естественный прирост населения. Смертность за 2003,20.9,человека  на 1 000 в год
,9 / 82,Естественный прирост населения. Смертность за 2002,20.5,человека  на 1 000 в год
,11 / 82,Естественный прирост населения. Смертность за 2001,19.6,человека  на 1 000 в год
,16 / 82,Естественный прирост населения. Смертность за 2000,18,человек  на 1 000 в год
,9 / 82,Естественный прирост населения. Смертность за 1999,18.4,человека  на 1 000 в год
,12 / 82,Естественный прирост населения. Смертность за 1998,16.3,человека  на 1 000 в год
,11 / 82,Естественный прирост населения. Смертность за 1997,16.4,человека  на 1 000 в год
,8 / 82,Естественный прирост населения. Смертность за 1996,17.1,человека  на 1 000 в год
,10 / 82,Естественный прирост населения. Смертность за 1995,17.4,человека  на 1 000 в год
,8 / 81,Естественный прирост населения. Смертность за 1994,18.9,человека  на 1 000 в год
,9 / 81,Естественный прирост населения. Смертность за 1993,17.1,человека  на 1 000 в год
,8 / 82,Естественный прирост населения. Смертность за 1992,14.7,человека  на 1 000 в год
,14 / 82,Естественный прирост населения. Смертность за 1991,13.4,человека  на 1 000 в год
,13 / 82,Естественный прирост населения. Смертность за 1990,13.2,человека  на 1 000 в год
,22 / 85,Миграционный прирост населения  за 2017,7.14,человека  на 10 000 в год
,18 / 85,Миграционный прирост населения за 2016,27.51,человека  на 10 000 в год
,16 / 85,Миграционный прирост населения за 2015,36.66,человека  на 10 000 в год
,14 / 83,Миграционный прирост населения за 2014,35.12,человека  на 10 000 в год
,14 / 83,Миграционный прирост населения за 2013,38.07,человека  на 10 000 в год
,13 / 83,Миграционный прирост населения за 2012,44.42,человека  на 10 000 в год
,16 / 83,Миграционный прирост населения за 2011,47.02,человека  на 10 000 в год
,33 / 83,Миграционный прирост населения за 2010,-11.92,человека  на 10 000 в год
,33 / 83,Миграционный прирост населения за 2009,10.26,человека  на 10 000 в год
,23 / 83,Миграционный прирост населения за 2008,21.25,человека  на 10 000 в год
,24 / 83,Миграционный прирост населения за 2007,19.3,человека  на 10 000 в год
,39 / 83,Миграционный прирост населения за 2006,-8.56,человека  на 10 000 в год
,47 / 83,Миграционный прирост населения за 2005,-20.71,человека  на 10 000 в год
,50 / 83,Миграционный прирост населения за 2004,-23.04,человека  на 10 000 в год
,42 / 83,Миграционный прирост населения за 2003,-9.8,человека  на 10 000 в год
,20 / 83,Миграционный прирост населения за 2002,16.6,человека  на 10 000 в год
,26 / 83,Миграционный прирост населения за 2001,4.7,человека  на 10 000 в год
,25 / 83,Миграционный прирост населения за 2000,19.3,человека  на 10 000 в год
,26 / 83,Миграционный прирост населения за 1999,21,человек  на 10 000 в год
,30 / 83,Миграционный прирост населения за 1998,25,человек  на 10 000 в год
,30 / 83,Миграционный прирост населения за 1997,31.4,человека  на 10 000 в год
,43 / 85,Общий прирост населения,-0.93,человека  на 1 000 в год
,55 / 85,Общий прирост населения в городах,-1.034,человека  на 1 000 в год
,26 / 85,Общий прирост населения в сёлах,-0.4385,человека  на 1 000 в год
,39 / 85,Численность населения  за 2019,1 259 612,человек
,39 / 85,Численность населения за 2018,1 265 684,человека
,39 / 85,Численность населения за 2017,1 270 736,человек
,39 / 85,Численность населения за 2016,1 271 912,человек
,39 / 85,Численность населения за 2015,1 271 629,человек
,38 / 83,Численность населения за 2014,1 271 766,человек
,39 / 83,Численность населения за 2013,1 271 672,человека
,39 / 83,Численность населения за 2012,1 271 030,человек
,40 / 83,Численность населения за 2011,1 271 006,человек
,39 / 83,Численность населения за 2010,1 280 088,человек
,39 / 83,Численность населения за 2009,1 286 122,человека
,39 / 83,Численность населения за 2008,1 292 536,человек
,39 / 83,Численность населения за 2007,1 299 965,человек
,38 / 83,Численность населения за 2006,1 312 813,человек
,38 / 83,Численность населения за 2005,1 329 799,человек
,38 / 83,Численность населения за 2004,1 347 055,человек
,38 / 83,Численность населения за 2003,1 364 374,человека
,38 / 83,Численность населения за 2002,1 378 417,человек
,37 / 83,Численность населения за 2001,1 393 727,человек
,37 / 83,Численность населения за 2000,1 406 111,человек
,37 / 83,Численность населения за 1999,1 419 433,человека
,37 / 83,Численность населения за 1998,1 428 690,человек
,37 / 83,Численность населения за 1997,1 437 494,человека
,37 / 83,Численность населения за 1996,1 446 797,человек
,38 / 83,Численность населения за 1995,1 452 718,человек
,37 / 83,Численность населения за 1994,1 456 922,человека
,35 / 83,Численность населения за 1993,1 464 220,человек
,35 / 83,Численность населения за 1992,1 469 449,человек
,35 / 83,Численность населения за 1991,1 473 837,человек
,36 / 85,Численность населения за 1990,1 472 126,человек
,,Б. Демографический состав,,
,59 / 85,Доля детей  за 2017,17,%
,60 / 85,Доля детей за 2016,16.5,%
,59 / 85,Доля детей за 2015,16.1,%
,63 / 83,Доля детей за 2014,15.6,%
,63 / 83,Доля детей за 2013,15.2,%
,66 / 83,Доля детей за 2012,14.8,%
,14 / 85,Доля пожилых  за 2017,28.2,%
,12 / 85,Доля пожилых за 2016,28,%
,12 / 85,Доля пожилых за 2015,27.6,%
,9 / 83,Доля пожилых за 2014,27.3,%
,7 / 83,Доля пожилых за 2013,26.9,%
,6 / 83,Доля пожилых за 2012,26.6,%
,13 / 85,Общая демографическая нагрузка  за 2018,84.57,человека  на 100 трудоспособных
,13 / 85,Общая демографическая нагрузка за 2017,82.61,человека  на 100 трудоспособных
,13 / 85,Общая демографическая нагрузка за 2016,80.23,человека  на 100 трудоспособных
,12 / 85,Общая демографическая нагрузка за 2015,77.5,человека  на 100 трудоспособных
,11 / 83,Общая демографическая нагрузка за 2014,75.14,человека  на 100 трудоспособных
,9 / 83,Общая демографическая нагрузка за 2013,72.87,человека  на 100 трудоспособных
,8 / 83,Общая демографическая нагрузка за 2012,70.75,человека  на 100 трудоспособных
,9 / 83,Общая демографическая нагрузка за 2011,68.93,человека  на 100 трудоспособных
,11 / 83,Общая демографическая нагрузка за 2010,67.03,человека  на 100 трудоспособных
,14 / 83,Общая демографическая нагрузка за 2009,64.88,человека  на 100 трудоспособных
,17 / 83,Общая демографическая нагрузка за 2008,64.15,человека  на 100 трудоспособных
,16 / 83,Общая демографическая нагрузка за 2007,63.55,человека  на 100 трудоспособных
,18 / 83,Общая демографическая нагрузка за 2006,63.41,человека  на 100 трудоспособных
,23 / 83,Общая демографическая нагрузка за 2005,63.71,человека  на 100 трудоспособных
,30 / 83,Общая демографическая нагрузка за 2004,64.33,человека  на 100 трудоспособных
,29 / 83,Общая демографическая нагрузка за 2003,66.18,человека  на 100 трудоспособных
,32 / 83,Общая демографическая нагрузка за 2002,68.05,человека  на 100 трудоспособных
,37 / 83,Общая демографическая нагрузка за 2001,69.3,человека  на 100 трудоспособных
,41 / 83,Общая демографическая нагрузка за 2000,71.45,человека  на 100 трудоспособных
,41 / 83,Общая демографическая нагрузка за 1999,74.02,человека  на 100 трудоспособных
,41 / 83,Общая демографическая нагрузка за 1998,76.05,человека  на 100 трудоспособных
,41 / 83,Общая демографическая нагрузка за 1997,77.26,человека  на 100 трудоспособных
,42 / 83,Общая демографическая нагрузка за 1996,77.76,человека  на 100 трудоспособных
,44 / 83,Общая демографическая нагрузка за 1995,78.06,человека  на 100 трудоспособных
,44 / 83,Общая демографическая нагрузка за 1994,78.59,человека  на 100 трудоспособных
,45 / 83,Общая демографическая нагрузка за 1993,79.05,человека  на 100 трудоспособных
,44 / 83,Общая демографическая нагрузка за 1992,78.8,человека  на 100 трудоспособных
,41 / 83,Общая демографическая нагрузка за 1991,78.79,человека  на 100 трудоспособных
,40 / 83,Общая демографическая нагрузка за 1990,78.51,человека  на 100 трудоспособных
,41 / 83,Приток (отток) постоянного населения за 2010,5.67,%  от числа ныне живущих в регионе
,19 / 83,Процент людей с высшим образованием за 2010,21,%
,85 / 85,Процент мужчин,44.87,%
,8 / 85,Процент русских,95.97,%
,19 / 85,Средний возраст,41.47,года
,13 / 85,Урбанизация  за 2018,81.8,%
,13 / 85,Урбанизация за 2017,81.7,%
,12 / 85,Урбанизация за 2016,81.7,%
,12 / 85,Урбанизация за 2015,81.7,%
,10 / 83,Урбанизация за 2014,81.8,%
,10 / 83,Урбанизация за 2013,81.9,%
,10 / 83,Урбанизация за 2012,81.9,%
,9 / 83,Урбанизация за 2011,82.2,%
,9 / 83,Урбанизация за 2010,82.1,%
,9 / 83,Урбанизация за 2009,82,%
,9 / 83,Урбанизация за 2008,81.9,%
,10 / 83,Урбанизация за 2007,81.7,%
,10 / 83,Урбанизация за 2006,81.5,%
,11 / 83,Урбанизация за 2005,81.3,%
,13 / 83,Урбанизация за 2004,81.1,%
,14 / 83,Урбанизация за 2003,80.99,%
,14 / 83,Урбанизация за 2002,80.8,%
,14 / 83,Урбанизация за 2001,80.62,%
,16 / 83,Урбанизация за 2000,80.44,%
,16 / 83,Урбанизация за 1999,80.48,%
,16 / 83,Урбанизация за 1998,80.35,%
,16 / 83,Урбанизация за 1997,80.36,%
,16 / 83,Урбанизация за 1996,80.52,%
,14 / 83,Урбанизация за 1995,80.62,%
,14 / 83,Урбанизация за 1994,80.54,%
,14 / 83,Урбанизация за 1993,81.17,%
,14 / 83,Урбанизация за 1992,81.52,%
,13 / 83,Урбанизация за 1991,81.72,%
,11 / 83,Урбанизация за 1990,81.6,%
,,В0. Здоровье,,
,55 / 85,Заболеваемость ВИЧ  за 2016,30.9,случая  на 100 000 человек
,61 / 84,Заболеваемость ВИЧ за 2015,26.6,случая  на 100 000 человек
,58 / 85,Заболеваемость ВИЧ за 2014,21.5,случая  на 100 000 человек
,59 / 83,Заболеваемость ВИЧ за 2013,17.1,случая  на 100 000 человек
,60 / 83,Заболеваемость ВИЧ за 2012,15.3,случая  на 100 000 человек
,61 / 83,Заболеваемость ВИЧ за 2011,12.7,случая  на 100 000 человек
,52 / 83,Заболеваемость ВИЧ за 2010,12.6,случая  на 100 000 человек
,51 / 83,Заболеваемость ВИЧ за 2009,12,случаев  на 100 000 человек
,68 / 83,Заболеваемость ВИЧ за 2008,7.4,случая  на 100 000 человек
,62 / 83,Заболеваемость ВИЧ за 2007,8.1,случая  на 100 000 человек
,35 / 82,Заболеваемость ВИЧ за 2006,10.9,случая  на 100 000 человек
,39 / 82,Заболеваемость ВИЧ за 2005,10,случаев  на 100 000 человек
