,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,17 / 85,Естественный прирост населения  за 2017,1.1,человека  на 1 000 в год
,21 / 85,Естественный прирост населения за 2016,1.8,человека  на 1 000 в год
,21 / 85,Естественный прирост населения за 2015,1.7,человека  на 1 000 в год
,28 / 85,Естественный прирост населения за 2014,1.6,человека  на 1 000 в год
,25 / 83,Естественный прирост населения за 2013,1.7,человека  на 1 000 в год
,27 / 83,Естественный прирост населения за 2012,1.4,человека  на 1 000 в год
,21 / 83,Естественный прирост населения за 2011,1.1,человека  на 1 000 в год
,28 / 83,Естественный прирост населения за 2010,-0.3,человека  на 1 000 в год
,27 / 83,Естественный прирост населения за 2009,-0.4,человека  на 1 000 в год
,31 / 83,Естественный прирост населения за 2008,-1.5,человека  на 1 000 в год
,32 / 83,Естественный прирост населения за 2007,-2.2,человека  на 1 000 в год
,29 / 83,Естественный прирост населения за 2006,-3.2,человека  на 1 000 в год
,20 / 83,Естественный прирост населения за 2005,-3.4,человека  на 1 000 в год
,27 / 83,Естественный прирост населения за 2004,-3.8,человека  на 1 000 в год
,32 / 83,Естественный прирост населения за 2003,-4.7,человека  на 1 000 в год
,36 / 82,Естественный прирост населения за 2002,-5.3,человека  на 1 000 в год
,41 / 82,Естественный прирост населения за 2001,-5.7,человека  на 1 000 в год
,40 / 82,Естественный прирост населения за 2000,-5.8,человека  на 1 000 в год
,45 / 82,Естественный прирост населения за 1999,-6.2,человека  на 1 000 в год
,54 / 82,Естественный прирост населения за 1998,-6,человек  на 1 000 в год
,52 / 82,Естественный прирост населения за 1997,-6,человек  на 1 000 в год
,57 / 82,Естественный прирост населения за 1996,-6.6,человека  на 1 000 в год
,66 / 82,Естественный прирост населения за 1995,-8.5,человека  на 1 000 в год
,67 / 81,Естественный прирост населения за 1994,-9.5,человека  на 1 000 в год
,74 / 81,Естественный прирост населения за 1993,-9.2,человека  на 1 000 в год
,75 / 82,Естественный прирост населения за 1992,-5.9,человека  на 1 000 в год
,73 / 82,Естественный прирост населения за 1991,-3.7,человека  на 1 000 в год
,75 / 82,Естественный прирост населения за 1990,-2.2,человека  на 1 000 в год
,54 / 85,Естественный прирост населения. Рождаемость  за 2017,10.7,ребенка  на 1 000 в год
,60 / 85,Естественный прирост населения. Рождаемость за 2016,11.8,ребенка  на 1 000 в год
,66 / 85,Естественный прирост населения. Рождаемость за 2015,11.6,ребенка  на 1 000 в год
,71 / 85,Естественный прирост населения. Рождаемость за 2014,11.3,ребенка  на 1 000 в год
,68 / 83,Естественный прирост населения. Рождаемость за 2013,11.3,ребенка  на 1 000 в год
,72 / 83,Естественный прирост населения. Рождаемость за 2012,11.3,ребенка  на 1 000 в год
,69 / 83,Естественный прирост населения. Рождаемость за 2011,10.8,ребенка  на 1 000 в год
,71 / 83,Естественный прирост населения. Рождаемость за 2010,10.7,ребенка  на 1 000 в год
,60 / 83,Естественный прирост населения. Рождаемость за 2009,11,детей  на 1 000 в год
,71 / 83,Естественный прирост населения. Рождаемость за 2008,10.3,ребенка  на 1 000 в год
,70 / 83,Естественный прирост населения. Рождаемость за 2007,9.7,ребенка  на 1 000 в год
,69 / 83,Естественный прирост населения. Рождаемость за 2006,9,детей  на 1 000 в год
,65 / 83,Естественный прирост населения. Рождаемость за 2005,8.9,ребенка  на 1 000 в год
,75 / 83,Естественный прирост населения. Рождаемость за 2004,8.8,ребенка  на 1 000 в год
,77 / 83,Естественный прирост населения. Рождаемость за 2003,8.4,ребенка  на 1 000 в год
,79 / 82,Естественный прирост населения. Рождаемость за 2002,7.9,ребенка  на 1 000 в год
,77 / 82,Естественный прирост населения. Рождаемость за 2001,7.5,ребенка  на 1 000 в год
,74 / 82,Естественный прирост населения. Рождаемость за 2000,7.3,ребенка  на 1 000 в год
,75 / 82,Естественный прирост населения. Рождаемость за 1999,6.8,ребенка  на 1 000 в год
,78 / 82,Естественный прирост населения. Рождаемость за 1998,7,детей  на 1 000 в год
,75 / 82,Естественный прирост населения. Рождаемость за 1997,7.1,ребенка  на 1 000 в год
,75 / 82,Естественный прирост населения. Рождаемость за 1996,7.3,ребенка  на 1 000 в год
,77 / 82,Естественный прирост населения. Рождаемость за 1995,7.5,ребенка  на 1 000 в год
,78 / 81,Естественный прирост населения. Рождаемость за 1994,7.4,ребенка  на 1 000 в год
,79 / 81,Естественный прирост населения. Рождаемость за 1993,6.9,ребенка  на 1 000 в год
,81 / 82,Естественный прирост населения. Рождаемость за 1992,7.6,ребенка  на 1 000 в год
,80 / 82,Естественный прирост населения. Рождаемость за 1991,9.1,ребенка  на 1 000 в год
,80 / 82,Естественный прирост населения. Рождаемость за 1990,10.6,ребенка  на 1 000 в год
,74 / 85,Естественный прирост населения. Смертность  за 2017,9.6,человека  на 1 000 в год
,72 / 85,Естественный прирост населения. Смертность за 2016,10,человек  на 1 000 в год
,74 / 85,Естественный прирост населения. Смертность за 2015,9.9,человека  на 1 000 в год
,74 / 83,Естественный прирост населения. Смертность за 2014,9.7,человека  на 1 000 в год
,75 / 83,Естественный прирост населения. Смертность за 2013,9.6,человека  на 1 000 в год
,74 / 83,Естественный прирост населения. Смертность за 2012,9.9,человека  на 1 000 в год
,75 / 83,Естественный прирост населения. Смертность за 2011,9.7,человека  на 1 000 в год
,72 / 83,Естественный прирост населения. Смертность за 2010,11,человек  на 1 000 в год
,74 / 83,Естественный прирост населения. Смертность за 2009,10.6,человека  на 1 000 в год
,73 / 83,Естественный прирост населения. Смертность за 2008,11.1,человека  на 1 000 в год
,72 / 83,Естественный прирост населения. Смертность за 2007,11.1,человека  на 1 000 в год
,71 / 83,Естественный прирост населения. Смертность за 2006,11.6,человека  на 1 000 в год
,72 / 83,Естественный прирост населения. Смертность за 2005,11.9,человека  на 1 000 в год
,71 / 83,Естественный прирост населения. Смертность за 2004,12.3,человека  на 1 000 в год
,69 / 83,Естественный прирост населения. Смертность за 2003,13,человек  на 1 000 в год
,67 / 82,Естественный прирост населения. Смертность за 2002,13.2,человека  на 1 000 в год
,67 / 82,Естественный прирост населения. Смертность за 2001,13.2,человека  на 1 000 в год
,62 / 82,Естественный прирост населения. Смертность за 2000,13.1,человека  на 1 000 в год
,57 / 82,Естественный прирост населения. Смертность за 1999,13,человек  на 1 000 в год
,44 / 82,Естественный прирост населения. Смертность за 1998,13,человек  на 1 000 в год
,43 / 82,Естественный прирост населения. Смертность за 1997,13.1,человека  на 1 000 в год
,41 / 82,Естественный прирост населения. Смертность за 1996,13.9,человека  на 1 000 в год
,26 / 82,Естественный прирост населения. Смертность за 1995,16,человек  на 1 000 в год
,23 / 81,Естественный прирост населения. Смертность за 1994,16.9,человека  на 1 000 в год
,15 / 81,Естественный прирост населения. Смертность за 1993,16.1,человека  на 1 000 в год
,19 / 82,Естественный прирост населения. Смертность за 1992,13.5,человека  на 1 000 в год
,19 / 82,Естественный прирост населения. Смертность за 1991,12.8,человека  на 1 000 в год
,18 / 82,Естественный прирост населения. Смертность за 1990,12.8,человека  на 1 000 в год
,7 / 85,Миграционный прирост населения  за 2017,89.22,человека  на 10 000 в год
,20 / 85,Миграционный прирост населения за 2016,23.51,человека  на 10 000 в год
,5 / 85,Миграционный прирост населения за 2015,91.5,человека  на 10 000 в год
,10 / 83,Миграционный прирост населения за 2014,57.29,человека  на 10 000 в год
,7 / 83,Миграционный прирост населения за 2013,90.37,человека  на 10 000 в год
,6 / 83,Миграционный прирост населения за 2012,88.75,человека  на 10 000 в год
,15 / 83,Миграционный прирост населения за 2011,51.07,человека  на 10 000 в год
