,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,17 / 85,Естественный прирост населения  за 2017,1.1,человека  на 1 000 в год
,19 / 85,Естественный прирост населения за 2016,2.1,человека  на 1 000 в год
,21 / 85,Естественный прирост населения за 2015,1.7,человека  на 1 000 в год
,30 / 85,Естественный прирост населения за 2014,1.3,человека  на 1 000 в год
,35 / 83,Естественный прирост населения за 2013,0.7,человека  на 1 000 в год
,38 / 83,Естественный прирост населения за 2012,0.2,человека  на 1 000 в год
,38 / 83,Естественный прирост населения за 2011,-0.9,человека  на 1 000 в год
,44 / 83,Естественный прирост населения за 2010,-2,человека  на 1 000 в год
,50 / 83,Естественный прирост населения за 2009,-2.8,человека  на 1 000 в год
,55 / 83,Естественный прирост населения за 2008,-4.2,человека  на 1 000 в год
,58 / 83,Естественный прирост населения за 2007,-5.3,человека  на 1 000 в год
,56 / 83,Естественный прирост населения за 2006,-6.5,человека  на 1 000 в год
,54 / 83,Естественный прирост населения за 2005,-7.4,человека  на 1 000 в год
,55 / 83,Естественный прирост населения за 2004,-7.3,человека  на 1 000 в год
,56 / 83,Естественный прирост населения за 2003,-8,человек  на 1 000 в год
,57 / 82,Естественный прирост населения за 2002,-8.4,человека  на 1 000 в год
,61 / 82,Естественный прирост населения за 2001,-9,человек  на 1 000 в год
,62 / 82,Естественный прирост населения за 2000,-9.4,человека  на 1 000 в год
,62 / 82,Естественный прирост населения за 1999,-9,человек  на 1 000 в год
,61 / 82,Естественный прирост населения за 1998,-7.1,человека  на 1 000 в год
,59 / 82,Естественный прирост населения за 1997,-6.7,человека  на 1 000 в год
,62 / 82,Естественный прирост населения за 1996,-7.5,человека  на 1 000 в год
,68 / 82,Естественный прирост населения за 1995,-8.9,человека  на 1 000 в год
,72 / 81,Естественный прирост населения за 1994,-10.1,человека  на 1 000 в год
,77 / 81,Естественный прирост населения за 1993,-10.8,человека  на 1 000 в год
,75 / 82,Естественный прирост населения за 1992,-5.9,человека  на 1 000 в год
,70 / 82,Естественный прирост населения за 1991,-3.3,человека  на 1 000 в год
,67 / 82,Естественный прирост населения за 1990,-1.4,человека  на 1 000 в год
,18 / 85,Естественный прирост населения. Рождаемость  за 2017,12.5,ребенка  на 1 000 в год
,23 / 85,Естественный прирост населения. Рождаемость за 2016,13.8,ребенка  на 1 000 в год
,35 / 85,Естественный прирост населения. Рождаемость за 2015,13.6,ребенка  на 1 000 в год
,45 / 85,Естественный прирост населения. Рождаемость за 2014,13,детей  на 1 000 в год
,49 / 83,Естественный прирост населения. Рождаемость за 2013,12.6,ребенка  на 1 000 в год
,48 / 83,Естественный прирост населения. Рождаемость за 2012,12.6,ребенка  на 1 000 в год
,53 / 83,Естественный прирост населения. Рождаемость за 2011,11.6,ребенка  на 1 000 в год
,55 / 83,Естественный прирост населения. Рождаемость за 2010,11.4,ребенка  на 1 000 в год
,56 / 83,Естественный прирост населения. Рождаемость за 2009,11.3,ребенка  на 1 000 в год
