,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,45 / 85,Естественный прирост населения  за 2017,-1.6,человека  на 1 000 в год
,52 / 85,Естественный прирост населения за 2016,-1.8,человека  на 1 000 в год
,50 / 85,Естественный прирост населения за 2015,-1.4,человека  на 1 000 в год
,50 / 85,Естественный прирост населения за 2014,-1.1,человека  на 1 000 в год
,50 / 83,Естественный прирост населения за 2013,-0.9,человека  на 1 000 в год
,48 / 83,Естественный прирост населения за 2012,-1.1,человека  на 1 000 в год
,42 / 83,Естественный прирост населения за 2011,-1.3,человека  на 1 000 в год
,43 / 83,Естественный прирост населения за 2010,-1.9,человека  на 1 000 в год
,41 / 83,Естественный прирост населения за 2009,-1.6,человека  на 1 000 в год
,30 / 83,Естественный прирост населения за 2008,-1.4,человека  на 1 000 в год
,29 / 83,Естественный прирост населения за 2007,-2.1,человека  на 1 000 в год
,33 / 83,Естественный прирост населения за 2006,-3.9,человека  на 1 000 в год
,44 / 83,Естественный прирост населения за 2005,-6.3,человека  на 1 000 в год
,41 / 83,Естественный прирост населения за 2004,-5,человек  на 1 000 в год
,25 / 83,Естественный прирост населения за 2003,-4.1,человека  на 1 000 в год
,28 / 82,Естественный прирост населения за 2002,-4.6,человека  на 1 000 в год
,24 / 82,Естественный прирост населения за 2001,-3.9,человека  на 1 000 в год
,32 / 82,Естественный прирост населения за 2000,-4.8,человека  на 1 000 в год
,28 / 82,Естественный прирост населения за 1999,-4.3,человека  на 1 000 в год
,22 / 82,Естественный прирост населения за 1998,-1.7,человека  на 1 000 в год
,24 / 82,Естественный прирост населения за 1997,-2.7,человека  на 1 000 в год
,27 / 82,Естественный прирост населения за 1996,-3.1,человека  на 1 000 в год
,22 / 82,Естественный прирост населения за 1995,-2.7,человека  на 1 000 в год
,19 / 81,Естественный прирост населения за 1994,-2.1,человека  на 1 000 в год
,16 / 81,Естественный прирост населения за 1993,-0.9,человека  на 1 000 в год
,19 / 82,Естественный прирост населения за 1992,2.3,человека  на 1 000 в год
,18 / 82,Естественный прирост населения за 1991,6.2,человека  на 1 000 в год
,16 / 82,Естественный прирост населения за 1990,8.2,человека  на 1 000 в год
,35 / 85,Естественный прирост населения. Рождаемость  за 2017,11.7,ребенка  на 1 000 в год
,29 / 85,Естественный прирост населения. Рождаемость за 2016,13.4,ребенка  на 1 000 в год
,29 / 85,Естественный прирост населения. Рождаемость за 2015,14,детей  на 1 000 в год
,32 / 85,Естественный прирост населения. Рождаемость за 2014,13.9,ребенка  на 1 000 в год
,38 / 83,Естественный прирост населения. Рождаемость за 2013,13.7,ребенка  на 1 000 в год
,30 / 83,Естественный прирост населения. Рождаемость за 2012,14.1,ребенка  на 1 000 в год
,19 / 83,Естественный прирост населения. Рождаемость за 2011,14.2,ребенка  на 1 000 в год
,25 / 83,Естественный прирост населения. Рождаемость за 2010,13.6,ребенка  на 1 000 в год
,26 / 83,Естественный прирост населения. Рождаемость за 2009,13.2,ребенка  на 1 000 в год
,20 / 83,Естественный прирост населения. Рождаемость за 2008,13.9,ребенка  на 1 000 в год
,20 / 83,Естественный прирост населения. Рождаемость за 2007,13,детей  на 1 000 в год
,17 / 83,Естественный прирост населения. Рождаемость за 2006,12.1,ребенка  на 1 000 в год
,19 / 83,Естественный прирост населения. Рождаемость за 2005,11.6,ребенка  на 1 000 в год
,18 / 83,Естественный прирост населения. Рождаемость за 2004,12,детей  на 1 000 в год
,18 / 83,Естественный прирост населения. Рождаемость за 2003,12,детей  на 1 000 в год
,17 / 82,Естественный прирост населения. Рождаемость за 2002,11.3,ребенка  на 1 000 в год
,17 / 82,Естественный прирост населения. Рождаемость за 2001,10.8,ребенка  на 1 000 в год
,23 / 82,Естественный прирост населения. Рождаемость за 2000,9.7,ребенка  на 1 000 в год
