,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,10 / 85,Естественный прирост населения  за 2017,4.3,человека  на 1 000 в год
,10 / 85,Естественный прирост населения за 2016,5.4,человека  на 1 000 в год
,11 / 85,Естественный прирост населения за 2015,5.8,человека  на 1 000 в год
,10 / 85,Естественный прирост населения за 2014,6.8,человека  на 1 000 в год
,9 / 83,Естественный прирост населения за 2013,6.6,человека  на 1 000 в год
,11 / 83,Естественный прирост населения за 2012,7,человек  на 1 000 в год
,10 / 83,Естественный прирост населения за 2011,5.6,человека  на 1 000 в год
,10 / 83,Естественный прирост населения за 2010,5.2,человека  на 1 000 в год
,12 / 83,Естественный прирост населения за 2009,4.2,человека  на 1 000 в год
,11 / 83,Естественный прирост населения за 2008,4.4,человека  на 1 000 в год
,13 / 83,Естественный прирост населения за 2007,3.3,человека  на 1 000 в год
,13 / 83,Естественный прирост населения за 2006,0.6,человека  на 1 000 в год
,14 / 83,Естественный прирост населения за 2005,-0.1,человека  на 1 000 в год
,13 / 83,Естественный прирост населения за 2004,0.8,человека  на 1 000 в год
,13 / 83,Естественный прирост населения за 2003,0.1,человека  на 1 000 в год
,12 / 82,Естественный прирост населения за 2002,0.2,человека  на 1 000 в год
,12 / 82,Естественный прирост населения за 2001,0.1,человека  на 1 000 в год
,10 / 82,Естественный прирост населения за 2000,0.4,человека  на 1 000 в год
,10 / 82,Естественный прирост населения за 1999,1,человек  на 1 000 в год
,11 / 82,Естественный прирост населения за 1998,2,человека  на 1 000 в год
,10 / 82,Естественный прирост населения за 1997,2.3,человека  на 1 000 в год
,7 / 82,Естественный прирост населения за 1996,2.4,человека  на 1 000 в год
,7 / 82,Естественный прирост населения за 1995,3.2,человека  на 1 000 в год
,6 / 81,Естественный прирост населения за 1994,4.1,человека  на 1 000 в год
,6 / 81,Естественный прирост населения за 1993,4.9,человека  на 1 000 в год
,6 / 82,Естественный прирост населения за 1992,8.3,человека  на 1 000 в год
,8 / 82,Естественный прирост населения за 1991,10.1,человека  на 1 000 в год
,8 / 82,Естественный прирост населения за 1990,11.5,человека  на 1 000 в год
,16 / 85,Естественный прирост населения. Рождаемость  за 2017,12.8,ребенка  на 1 000 в год
,19 / 85,Естественный прирост населения. Рождаемость за 2016,14,детей  на 1 000 в год
,17 / 85,Естественный прирост населения. Рождаемость за 2015,14.6,ребенка  на 1 000 в год
,13 / 85,Естественный прирост населения. Рождаемость за 2014,15.6,ребенка  на 1 000 в год
,15 / 83,Естественный прирост населения. Рождаемость за 2013,15.6,ребенка  на 1 000 в год
,13 / 83,Естественный прирост населения. Рождаемость за 2012,16,детей  на 1 000 в год
,15 / 83,Естественный прирост населения. Рождаемость за 2011,15,детей  на 1 000 в год
,17 / 83,Естественный прирост населения. Рождаемость за 2010,14.6,ребенка  на 1 000 в год
,22 / 83,Естественный прирост населения. Рождаемость за 2009,13.6,ребенка  на 1 000 в год
,21 / 83,Естественный прирост населения. Рождаемость за 2008,13.5,ребенка  на 1 000 в год
,21 / 83,Естественный прирост населения. Рождаемость за 2007,12.8,ребенка  на 1 000 в год
,42 / 83,Естественный прирост населения. Рождаемость за 2006,10.4,ребенка  на 1 000 в год
,47 / 83,Естественный прирост населения. Рождаемость за 2005,10,детей  на 1 000 в год
,45 / 83,Естественный прирост населения. Рождаемость за 2004,10.5,ребенка  на 1 000 в год
,45 / 83,Естественный прирост населения. Рождаемость за 2003,10.3,ребенка  на 1 000 в год
,33 / 82,Естественный прирост населения. Рождаемость за 2002,10.2,ребенка  на 1 000 в год
,25 / 82,Естественный прирост населения. Рождаемость за 2001,10,детей  на 1 000 в год
,16 / 82,Естественный прирост населения. Рождаемость за 2000,10.4,ребенка  на 1 000 в год
,12 / 82,Естественный прирост населения. Рождаемость за 1999,10.5,ребенка  на 1 000 в год
,12 / 82,Естественный прирост населения. Рождаемость за 1998,11.5,ребенка  на 1 000 в год
,9 / 82,Естественный прирост населения. Рождаемость за 1997,11.7,ребенка  на 1 000 в год
,9 / 82,Естественный прирост населения. Рождаемость за 1996,12.2,ребенка  на 1 000 в год
,8 / 82,Естественный прирост населения. Рождаемость за 1995,13.1,ребенка  на 1 000 в год
,7 / 81,Естественный прирост населения. Рождаемость за 1994,14,детей  на 1 000 в год
,5 / 81,Естественный прирост населения. Рождаемость за 1993,14.6,ребенка  на 1 000 в год
