,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,7 / 85,Естественный прирост населения  за 2017,6.6,человека  на 1 000 в год
,6 / 85,Естественный прирост населения за 2016,9.6,человека  на 1 000 в год
,8 / 85,Естественный прирост населения за 2015,8.4,человека  на 1 000 в год
,9 / 85,Естественный прирост населения за 2014,7.9,человека  на 1 000 в год
,11 / 83,Естественный прирост населения за 2013,5.7,человека  на 1 000 в год
,10 / 83,Естественный прирост населения за 2012,7.1,человека  на 1 000 в год
,11 / 83,Естественный прирост населения за 2011,4.7,человека  на 1 000 в год
,11 / 83,Естественный прирост населения за 2010,4.7,человека  на 1 000 в год
,10 / 83,Естественный прирост населения за 2009,4.8,человека  на 1 000 в год
,13 / 83,Естественный прирост населения за 2008,3.6,человека  на 1 000 в год
,14 / 83,Естественный прирост населения за 2007,3,человека  на 1 000 в год
,12 / 83,Естественный прирост населения за 2006,1.1,человека  на 1 000 в год
,10 / 83,Естественный прирост населения за 2005,2.3,человека  на 1 000 в год
,12 / 83,Естественный прирост населения за 2004,1.8,человека  на 1 000 в год
,10 / 83,Естественный прирост населения за 2003,1.8,человека  на 1 000 в год
,8 / 82,Естественный прирост населения за 2002,1.6,человека  на 1 000 в год
,8 / 82,Естественный прирост населения за 2001,0.9,человека  на 1 000 в год
,11 / 82,Естественный прирост населения за 2000,0.3,человека  на 1 000 в год
,8 / 82,Естественный прирост населения за 1999,2,человека  на 1 000 в год
,8 / 82,Естественный прирост населения за 1998,3.2,человека  на 1 000 в год
,7 / 82,Естественный прирост населения за 1997,2.9,человека  на 1 000 в год
,10 / 82,Естественный прирост населения за 1996,1.3,человека  на 1 000 в год
,13 / 82,Естественный прирост населения за 1995,0.7,человека  на 1 000 в год
,8 / 81,Естественный прирост населения за 1994,2.7,человека  на 1 000 в год
,10 / 81,Естественный прирост населения за 1993,1.2,человека  на 1 000 в год
,10 / 82,Естественный прирост населения за 1992,5.9,человека  на 1 000 в год
,9 / 82,Естественный прирост населения за 1991,9.3,человека  на 1 000 в год
,9 / 82,Естественный прирост населения за 1990,10.3,человека  на 1 000 в год
,6 / 85,Естественный прирост населения. Рождаемость  за 2017,15.2,ребенка  на 1 000 в год
,3 / 85,Естественный прирост населения. Рождаемость за 2016,18.5,ребенка  на 1 000 в год
,6 / 85,Естественный прирост населения. Рождаемость за 2015,17.6,ребенка  на 1 000 в год
