,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,6 / 85,Естественный прирост населения  за 2017,7.9,человека  на 1 000 в год
,7 / 85,Естественный прирост населения за 2016,9.5,человека  на 1 000 в год
,6 / 85,Естественный прирост населения за 2015,10.2,человека  на 1 000 в год
,6 / 85,Естественный прирост населения за 2014,10.8,человека  на 1 000 в год
,6 / 83,Естественный прирост населения за 2013,11.2,человека  на 1 000 в год
,5 / 83,Естественный прирост населения за 2012,11.4,человека  на 1 000 в год
,7 / 83,Естественный прирост населения за 2011,9.9,человека  на 1 000 в год
,6 / 83,Естественный прирост населения за 2010,9.6,человека  на 1 000 в год
,6 / 83,Естественный прирост населения за 2009,9,человек  на 1 000 в год
,7 / 83,Естественный прирост населения за 2008,8.5,человека  на 1 000 в год
,6 / 83,Естественный прирост населения за 2007,7.9,человека  на 1 000 в год
,6 / 83,Естественный прирост населения за 2006,6.9,человека  на 1 000 в год
,5 / 83,Естественный прирост населения за 2005,6.4,человека  на 1 000 в год
,5 / 83,Естественный прирост населения за 2004,7.2,человека  на 1 000 в год
,5 / 83,Естественный прирост населения за 2003,6.8,человека  на 1 000 в год
,4 / 82,Естественный прирост населения за 2002,6.5,человека  на 1 000 в год
,4 / 82,Естественный прирост населения за 2001,5.2,человека  на 1 000 в год
,4 / 82,Естественный прирост населения за 2000,4.5,человека  на 1 000 в год
,4 / 82,Естественный прирост населения за 1999,4.6,человека  на 1 000 в год
,4 / 82,Естественный прирост населения за 1998,5.5,человека  на 1 000 в год
,5 / 82,Естественный прирост населения за 1997,4.6,человека  на 1 000 в год
,6 / 82,Естественный прирост населения за 1996,3.7,человека  на 1 000 в год
,6 / 82,Естественный прирост населения за 1995,3.4,человека  на 1 000 в год
,6 / 81,Естественный прирост населения за 1994,4.1,человека  на 1 000 в год
,7 / 81,Естественный прирост населения за 1993,4,человека  на 1 000 в год
,8 / 82,Естественный прирост населения за 1992,6.9,человека  на 1 000 в год
,7 / 82,Естественный прирост населения за 1991,10.3,человека  на 1 000 в год
,5 / 82,Естественный прирост населения за 1990,12.9,человека  на 1 000 в год
,10 / 85,Естественный прирост населения. Рождаемость  за 2017,14.1,ребенка  на 1 000 в год
,10 / 85,Естественный прирост населения. Рождаемость за 2016,15.7,ребенка  на 1 000 в год
,10 / 85,Естественный прирост населения. Рождаемость за 2015,16.6,ребенка  на 1 000 в год
,8 / 85,Естественный прирост населения. Рождаемость за 2014,17.2,ребенка  на 1 000 в год
,7 / 83,Естественный прирост населения. Рождаемость за 2013,17.5,ребенка  на 1 000 в год
,7 / 83,Естественный прирост населения. Рождаемость за 2012,17.7,ребенка  на 1 000 в год
,8 / 83,Естественный прирост населения. Рождаемость за 2011,16.4,ребенка  на 1 000 в год
,9 / 83,Естественный прирост населения. Рождаемость за 2010,16.4,ребенка  на 1 000 в год
,10 / 83,Естественный прирост населения. Рождаемость за 2009,15.6,ребенка  на 1 000 в год
,10 / 83,Естественный прирост населения. Рождаемость за 2008,15.3,ребенка  на 1 000 в год
,11 / 83,Естественный прирост населения. Рождаемость за 2007,14.6,ребенка  на 1 000 в год
,11 / 83,Естественный прирост населения. Рождаемость за 2006,13.7,ребенка  на 1 000 в год
,11 / 83,Естественный прирост населения. Рождаемость за 2005,13.5,ребенка  на 1 000 в год
,10 / 83,Естественный прирост населения. Рождаемость за 2004,13.9,ребенка  на 1 000 в год
,9 / 83,Естественный прирост населения. Рождаемость за 2003,13.7,ребенка  на 1 000 в год
,7 / 82,Естественный прирост населения. Рождаемость за 2002,13.4,ребенка  на 1 000 в год
,10 / 82,Естественный прирост населения. Рождаемость за 2001,12.3,ребенка  на 1 000 в год
,11 / 82,Естественный прирост населения. Рождаемость за 2000,11.4,ребенка  на 1 000 в год
,11 / 82,Естественный прирост населения. Рождаемость за 1999,10.8,ребенка  на 1 000 в год
,12 / 82,Естественный прирост населения. Рождаемость за 1998,11.5,ребенка  на 1 000 в год
,14 / 82,Естественный прирост населения. Рождаемость за 1997,11,детей  на 1 000 в год
,16 / 82,Естественный прирост населения. Рождаемость за 1996,11,детей  на 1 000 в год
,15 / 82,Естественный прирост населения. Рождаемость за 1995,11.1,ребенка  на 1 000 в год
,14 / 81,Естественный прирост населения. Рождаемость за 1994,11.8,ребенка  на 1 000 в год
,15 / 81,Естественный прирост населения. Рождаемость за 1993,11.4,ребенка  на 1 000 в год
,19 / 82,Естественный прирост населения. Рождаемость за 1992,12.5,ребенка  на 1 000 в год
,14 / 82,Естественный прирост населения. Рождаемость за 1991,14.9,ребенка  на 1 000 в год
,12 / 82,Естественный прирост населения. Рождаемость за 1990,17.1,ребенка  на 1 000 в год
,81 / 85,Естественный прирост населения. Смертность  за 2017,6.2,человека  на 1 000 в год
,81 / 85,Естественный прирост населения. Смертность за 2016,6.2,человека  на 1 000 в год
,81 / 85,Естественный прирост населения. Смертность за 2015,6.4,человека  на 1 000 в год
,79 / 83,Естественный прирост населения. Смертность за 2014,6.4,человека  на 1 000 в год
,79 / 83,Естественный прирост населения. Смертность за 2013,6.3,человека  на 1 000 в год
,79 / 83,Естественный прирост населения. Смертность за 2012,6.3,человека  на 1 000 в год
,79 / 83,Естественный прирост населения. Смертность за 2011,6.5,человека  на 1 000 в год
,79 / 83,Естественный прирост населения. Смертность за 2010,6.8,человека  на 1 000 в год
,79 / 83,Естественный прирост населения. Смертность за 2009,6.7,человека  на 1 000 в год
,79 / 83,Естественный прирост населения. Смертность за 2008,6.8,человека  на 1 000 в год
,79 / 83,Естественный прирост населения. Смертность за 2007,6.8,человека  на 1 000 в год
,79 / 83,Естественный прирост населения. Смертность за 2006,6.8,человека  на 1 000 в год
,79 / 83,Естественный прирост населения. Смертность за 2005,7.1,человека  на 1 000 в год
,79 / 83,Естественный прирост населения. Смертность за 2004,6.7,человека  на 1 000 в год
,79 / 83,Естественный прирост населения. Смертность за 2003,6.9,человека  на 1 000 в год
,79 / 82,Естественный прирост населения. Смертность за 2002,6.9,человека  на 1 000 в год
,79 / 82,Естественный прирост населения. Смертность за 2001,7.1,человека  на 1 000 в год
,79 / 82,Естественный прирост населения. Смертность за 2000,6.9,человека  на 1 000 в год
,80 / 82,Естественный прирост населения. Смертность за 1999,6.2,человека  на 1 000 в год
,81 / 82,Естественный прирост населения. Смертность за 1998,6,человек  на 1 000 в год
,81 / 82,Естественный прирост населения. Смертность за 1997,6.4,человека  на 1 000 в год
,79 / 82,Естественный прирост населения. Смертность за 1996,7.3,человека  на 1 000 в год
,79 / 82,Естественный прирост населения. Смертность за 1995,7.7,человека  на 1 000 в год
,79 / 81,Естественный прирост населения. Смертность за 1994,7.7,человека  на 1 000 в год
,79 / 81,Естественный прирост населения. Смертность за 1993,7.4,человека  на 1 000 в год
,80 / 82,Естественный прирост населения. Смертность за 1992,5.6,человека  на 1 000 в год
,80 / 82,Естественный прирост населения. Смертность за 1991,4.6,человека  на 1 000 в год
,80 / 82,Естественный прирост населения. Смертность за 1990,4.2,человека  на 1 000 в год
,52 / 85,Миграционный прирост населения  за 2017,-24.64,человека  на 10 000 в год
,19 / 85,Миграционный прирост населения за 2016,23.61,человека  на 10 000 в год
,45 / 85,Миграционный прирост населения за 2015,-11.41,человека  на 10 000 в год
,54 / 83,Миграционный прирост населения за 2014,-15.81,человека  на 10 000 в год
,52 / 83,Миграционный прирост населения за 2013,-29.03,человека  на 10 000 в год
,15 / 83,Миграционный прирост населения за 2012,31.79,человека  на 10 000 в год
,13 / 83,Миграционный прирост населения за 2011,56.67,человека  на 10 000 в год
,22 / 83,Миграционный прирост населения за 2010,8.3,человека  на 10 000 в год
,20 / 83,Миграционный прирост населения за 2009,20.95,человека  на 10 000 в год
,39 / 83,Миграционный прирост населения за 2008,0.65,человека  на 10 000 в год
,20 / 83,Миграционный прирост населения за 2007,28.71,человека  на 10 000 в год
,47 / 83,Миграционный прирост населения за 2006,-19.66,человека  на 10 000 в год
,52 / 83,Миграционный прирост населения за 2005,-26.93,человека  на 10 000 в год
,41 / 83,Миграционный прирост населения за 2004,-13.01,человека  на 10 000 в год
,15 / 83,Миграционный прирост населения за 2003,41.01,человека  на 10 000 в год
,5 / 83,Миграционный прирост населения за 2002,116.8,человека  на 10 000 в год
,3 / 83,Миграционный прирост населения за 2001,151.3,человека  на 10 000 в год
,4 / 83,Миграционный прирост населения за 2000,128.7,человека  на 10 000 в год
,63 / 83,Миграционный прирост населения за 1999,-41.8,человека  на 10 000 в год
,9 / 83,Миграционный прирост населения за 1998,64,человека  на 10 000 в год
,2 / 83,Миграционный прирост населения за 1997,151,человек  на 10 000 в год
,6 / 85,Общий прирост населения,11.81,человека  на 1 000 в год
,7 / 85,Общий прирост населения в городах,12.88,человека  на 1 000 в год
,27 / 85,Общий прирост населения в сёлах,-0.9814,человека  на 1 000 в год
,28 / 85,Численность населения  за 2019,1 663 795,человек
,28 / 85,Численность населения за 2018,1 655 074,человека
,28 / 85,Численность населения за 2017,1 646 078,человек
,28 / 85,Численность населения за 2016,1 626 755,человек
,28 / 85,Численность населения за 2015,1 612 076,человек
,27 / 83,Численность населения за 2014,1 597 248,человек
,27 / 83,Численность населения за 2013,1 584 063,человека
,27 / 83,Численность населения за 2012,1 561 238,человек
,28 / 83,Численность населения за 2011,1 537 134,человека
,30 / 83,Численность населения за 2010,1 521 222,человека
,30 / 83,Численность населения за 2009,1 504 319,человек
,30 / 83,Численность населения за 2008,1 491 240,человек
,31 / 83,Численность населения за 2007,1 475 188,человек
,31 / 83,Численность населения за 2006,1 467 792,человека
,31 / 83,Численность населения за 2005,1 462 194,человека
,32 / 83,Численность населения за 2004,1 453 541,человек
,34 / 83,Численность населения за 2003,1 437 729,человек
,35 / 83,Численность населения за 2002,1 411 867,человек
,38 / 83,Численность населения за 2001,1 383 449,человек
,39 / 83,Численность населения за 2000,1 359 646,человек
,40 / 83,Численность населения за 1999,1 359 069,человек
,40 / 83,Численность населения за 1998,1 342 991,человек
,43 / 83,Численность населения за 1997,1 316 774,человека
,44 / 83,Численность населения за 1996,1 303 285,человек
,45 / 83,Численность населения за 1995,1 292 985,человек
,46 / 83,Численность населения за 1994,1 279 483,человека
,48 / 83,Численность населения за 1993,1 267 751,человек
,47 / 83,Численность населения за 1992,1 271 505,человек
,47 / 83,Численность населения за 1991,1 280 139,человек
,48 / 85,Численность населения за 1990,1 267 030,человек
,,Б. Демографический состав,,
,10 / 85,Доля детей  за 2017,23,%
,10 / 85,Доля детей за 2016,22.8,%
,14 / 85,Доля детей за 2015,20.9,%
,11 / 83,Доля детей за 2014,22,%
,11 / 83,Доля детей за 2013,21.5,%
,12 / 83,Доля детей за 2012,20.9,%
,79 / 85,Доля пожилых  за 2017,14.8,%
,79 / 85,Доля пожилых за 2016,14,%
,77 / 85,Доля пожилых за 2015,17.5,%
,77 / 83,Доля пожилых за 2014,12.4,%
,77 / 83,Доля пожилых за 2013,11.7,%
,77 / 83,Доля пожилых за 2012,11.1,%
,83 / 85,Общая демографическая нагрузка  за 2018,63.49,человека  на 100 трудоспособных
,83 / 85,Общая демографическая нагрузка за 2017,60.83,человека  на 100 трудоспособных
,83 / 85,Общая демографическая нагрузка за 2016,58.12,человека  на 100 трудоспособных
,83 / 85,Общая демографическая нагрузка за 2015,55.1,человека  на 100 трудоспособных
,81 / 83,Общая демографическая нагрузка за 2014,52.35,человека  на 100 трудоспособных
,82 / 83,Общая демографическая нагрузка за 2013,49.63,человека  на 100 трудоспособных
,82 / 83,Общая демографическая нагрузка за 2012,47.1,человека  на 100 трудоспособных
,82 / 83,Общая демографическая нагрузка за 2011,45.23,человека  на 100 трудоспособных
,82 / 83,Общая демографическая нагрузка за 2010,43.49,человека  на 100 трудоспособных
,82 / 83,Общая демографическая нагрузка за 2009,41.66,человека  на 100 трудоспособных
,82 / 83,Общая демографическая нагрузка за 2008,40.3,человека  на 100 трудоспособных
,82 / 83,Общая демографическая нагрузка за 2007,39.3,человека  на 100 трудоспособных
,82 / 83,Общая демографическая нагрузка за 2006,39.1,человека  на 100 трудоспособных
,82 / 83,Общая демографическая нагрузка за 2005,39.39,человека  на 100 трудоспособных
,82 / 83,Общая демографическая нагрузка за 2004,40.05,человека  на 100 трудоспособных
,82 / 83,Общая демографическая нагрузка за 2003,41.55,человека  на 100 трудоспособных
,82 / 83,Общая демографическая нагрузка за 2002,42.92,человека  на 100 трудоспособных
,80 / 83,Общая демографическая нагрузка за 2001,43.89,человека  на 100 трудоспособных
,80 / 83,Общая демографическая нагрузка за 2000,45.26,человека  на 100 трудоспособных
,80 / 83,Общая демографическая нагрузка за 1999,46.81,человека  на 100 трудоспособных
,79 / 83,Общая демографическая нагрузка за 1998,48.55,человека  на 100 трудоспособных
,79 / 83,Общая демографическая нагрузка за 1997,50.59,человека  на 100 трудоспособных
,79 / 83,Общая демографическая нагрузка за 1996,52.57,человека  на 100 трудоспособных
,78 / 83,Общая демографическая нагрузка за 1995,54.29,человека  на 100 трудоспособных
,78 / 83,Общая демографическая нагрузка за 1994,55.82,человека  на 100 трудоспособных
,78 / 83,Общая демографическая нагрузка за 1993,57.67,человека  на 100 трудоспособных
,78 / 83,Общая демографическая нагрузка за 1992,58.86,человека  на 100 трудоспособных
,78 / 83,Общая демографическая нагрузка за 1991,58.89,человека  на 100 трудоспособных
,78 / 83,Общая демографическая нагрузка за 1990,58.98,человека  на 100 трудоспособных
,1 / 83,Приток (отток) постоянного населения за 2010,68.81,%  от числа ныне живущих в регионе
,6 / 83,Процент людей с высшим образованием за 2010,24,%
,6 / 85,Процент мужчин,48.72,%
,61 / 85,Процент русских,68.11,%
,78 / 85,Средний возраст,34.65,года
,5 / 85,Урбанизация  за 2018,92.3,%
,6 / 85,Урбанизация за 2017,92.3,%
,6 / 85,Урбанизация за 2016,92.2,%
,6 / 85,Урбанизация за 2015,92.1,%
,5 / 83,Урбанизация за 2014,92,%
