,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,12 / 85,Естественный прирост населения  за 2017,3.7,человека  на 1 000 в год
,14 / 85,Естественный прирост населения за 2016,3.6,человека  на 1 000 в год
,13 / 85,Естественный прирост населения за 2015,4.1,человека  на 1 000 в год
,17 / 85,Естественный прирост населения за 2014,2.8,человека  на 1 000 в год
,17 / 83,Естественный прирост населения за 2013,2.6,человека  на 1 000 в год
,17 / 83,Естественный прирост населения за 2012,2.6,человека  на 1 000 в год
,16 / 83,Естественный прирост населения за 2011,2.5,человека  на 1 000 в год
,18 / 83,Естественный прирост населения за 2010,0.9,человека  на 1 000 в год
,19 / 83,Естественный прирост населения за 2009,1.2,человека  на 1 000 в год
,16 / 83,Естественный прирост населения за 2008,2.7,человека  на 1 000 в год
,10 / 83,Естественный прирост населения за 2007,4.1,человека  на 1 000 в год
,9 / 83,Естественный прирост населения за 2006,3.7,человека  на 1 000 в год
,8 / 83,Естественный прирост населения за 2005,3.9,человека  на 1 000 в год
,9 / 83,Естественный прирост населения за 2004,3.2,человека  на 1 000 в год
,9 / 83,Естественный прирост населения за 2003,2.3,человека  на 1 000 в год
,10 / 82,Естественный прирост населения за 2002,0.7,человека  на 1 000 в год
,11 / 82,Естественный прирост населения за 2001,0.3,человека  на 1 000 в год
,7 / 82,Естественный прирост населения за 2000,1.9,человека  на 1 000 в год
,7 / 82,Естественный прирост населения за 1999,2.2,человека  на 1 000 в год
,7 / 82,Естественный прирост населения за 1998,3.5,человека  на 1 000 в год
,7 / 82,Естественный прирост населения за 1997,2.9,человека  на 1 000 в год
,9 / 82,Естественный прирост населения за 1996,1.4,человека  на 1 000 в год
,10 / 82,Естественный прирост населения за 1995,1.3,человека  на 1 000 в год
,10 / 81,Естественный прирост населения за 1994,2.6,человека  на 1 000 в год
,9 / 81,Естественный прирост населения за 1993,2.4,человека  на 1 000 в год
,10 / 82,Естественный прирост населения за 1992,5.9,человека  на 1 000 в год
,10 / 82,Естественный прирост населения за 1991,8.4,человека  на 1 000 в год
,10 / 82,Естественный прирост населения за 1990,10.1,человека  на 1 000 в год
,14 / 85,Естественный прирост населения. Рождаемость  за 2017,13.1,ребенка  на 1 000 в год
,28 / 85,Естественный прирост населения. Рождаемость за 2016,13.6,ребенка  на 1 000 в год
,35 / 85,Естественный прирост населения. Рождаемость за 2015,13.6,ребенка  на 1 000 в год
,34 / 85,Естественный прирост населения. Рождаемость за 2014,13.7,ребенка  на 1 000 в год
,41 / 83,Естественный прирост населения. Рождаемость за 2013,13.1,ребенка  на 1 000 в год
,31 / 83,Естественный прирост населения. Рождаемость за 2012,14,детей  на 1 000 в год
,24 / 83,Естественный прирост населения. Рождаемость за 2011,13.6,ребенка  на 1 000 в год
,16 / 83,Естественный прирост населения. Рождаемость за 2010,14.7,ребенка  на 1 000 в год
,18 / 83,Естественный прирост населения. Рождаемость за 2009,14.2,ребенка  на 1 000 в год
,12 / 83,Естественный прирост населения. Рождаемость за 2008,15.1,ребенка  на 1 000 в год
,8 / 83,Естественный прирост населения. Рождаемость за 2007,15.9,ребенка  на 1 000 в год
,4 / 83,Естественный прирост населения. Рождаемость за 2006,15.3,ребенка  на 1 000 в год
,4 / 83,Естественный прирост населения. Рождаемость за 2005,15.7,ребенка  на 1 000 в год
,6 / 83,Естественный прирост населения. Рождаемость за 2004,15.4,ребенка  на 1 000 в год
,13 / 83,Естественный прирост населения. Рождаемость за 2003,13,детей  на 1 000 в год
,13 / 82,Естественный прирост населения. Рождаемость за 2002,12,детей  на 1 000 в год
,8 / 82,Естественный прирост населения. Рождаемость за 2001,12.7,ребенка  на 1 000 в год
,10 / 82,Естественный прирост населения. Рождаемость за 2000,11.5,ребенка  на 1 000 в год
,13 / 82,Естественный прирост населения. Рождаемость за 1999,10.4,ребенка  на 1 000 в год
,9 / 82,Естественный прирост населения. Рождаемость за 1998,12.3,ребенка  на 1 000 в год
,15 / 82,Естественный прирост населения. Рождаемость за 1997,10.9,ребенка  на 1 000 в год
,14 / 82,Естественный прирост населения. Рождаемость за 1996,11.5,ребенка  на 1 000 в год
,22 / 82,Естественный прирост населения. Рождаемость за 1995,10.4,ребенка  на 1 000 в год
,19 / 81,Естественный прирост населения. Рождаемость за 1994,11.1,ребенка  на 1 000 в год
,31 / 81,Естественный прирост населения. Рождаемость за 1993,10.1,ребенка  на 1 000 в год
,31 / 82,Естественный прирост населения. Рождаемость за 1992,11.5,ребенка  на 1 000 в год
,34 / 82,Естественный прирост населения. Рождаемость за 1991,12.5,ребенка  на 1 000 в год
,36 / 82,Естественный прирост населения. Рождаемость за 1990,13.8,ребенка  на 1 000 в год
,75 / 85,Естественный прирост населения. Смертность  за 2017,9.4,человека  на 1 000 в год
,72 / 85,Естественный прирост населения. Смертность за 2016,10,человек  на 1 000 в год
,77 / 85,Естественный прирост населения. Смертность за 2015,9.5,человека  на 1 000 в год
,70 / 83,Естественный прирост населения. Смертность за 2014,10.9,человека  на 1 000 в год
,72 / 83,Естественный прирост населения. Смертность за 2013,10.5,человека  на 1 000 в год
