,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,5 / 85,Естественный прирост населения  за 2017,9.1,человека  на 1 000 в год
,5 / 85,Естественный прирост населения за 2016,10.1,человека  на 1 000 в год
,5 / 85,Естественный прирост населения за 2015,11.3,человека  на 1 000 в год
,5 / 85,Естественный прирост населения за 2014,11.8,человека  на 1 000 в год
,5 / 83,Естественный прирост населения за 2013,11.5,человека  на 1 000 в год
,5 / 83,Естественный прирост населения за 2012,11.4,человека  на 1 000 в год
,6 / 83,Естественный прирост населения за 2011,10.2,человека  на 1 000 в год
,5 / 83,Естественный прирост населения за 2010,10.3,человека  на 1 000 в год
,5 / 83,Естественный прирост населения за 2009,9.7,человека  на 1 000 в год
,5 / 83,Естественный прирост населения за 2008,9.1,человека  на 1 000 в год
,5 / 83,Естественный прирост населения за 2007,8.8,человека  на 1 000 в год
,4 / 83,Естественный прирост населения за 2006,7.6,человека  на 1 000 в год
,4 / 83,Естественный прирост населения за 2005,7.7,человека  на 1 000 в год
,4 / 83,Естественный прирост населения за 2004,8.3,человека  на 1 000 в год
,4 / 83,Естественный прирост населения за 2003,8,человек  на 1 000 в год
,3 / 82,Естественный прирост населения за 2002,7.3,человека  на 1 000 в год
,3 / 82,Естественный прирост населения за 2001,6.7,человека  на 1 000 в год
,3 / 82,Естественный прирост населения за 2000,6.1,человека  на 1 000 в год
,3 / 82,Естественный прирост населения за 1999,7,человек  на 1 000 в год
,3 / 82,Естественный прирост населения за 1998,7.7,человека  на 1 000 в год
,3 / 82,Естественный прирост населения за 1997,7,человек  на 1 000 в год
,3 / 82,Естественный прирост населения за 1996,6.7,человека  на 1 000 в год
,4 / 82,Естественный прирост населения за 1995,6.7,человека  на 1 000 в год
,2 / 81,Естественный прирост населения за 1994,7,человек  на 1 000 в год
,4 / 81,Естественный прирост населения за 1993,6.3,человека  на 1 000 в год
,5 / 82,Естественный прирост населения за 1992,8.5,человека  на 1 000 в год
,4 / 82,Естественный прирост населения за 1991,11.3,человека  на 1 000 в год
,4 / 82,Естественный прирост населения за 1990,13.1,человека  на 1 000 в год
,11 / 85,Естественный прирост населения. Рождаемость  за 2017,14,детей  на 1 000 в год
,11 / 85,Естественный прирост населения. Рождаемость за 2016,15.4,ребенка  на 1 000 в год
,10 / 85,Естественный прирост населения. Рождаемость за 2015,16.6,ребенка  на 1 000 в год
,10 / 85,Естественный прирост населения. Рождаемость за 2014,16.9,ребенка  на 1 000 в год
,9 / 83,Естественный прирост населения. Рождаемость за 2013,16.6,ребенка  на 1 000 в год
,10 / 83,Естественный прирост населения. Рождаемость за 2012,16.8,ребенка  на 1 000 в год
,10 / 83,Естественный прирост населения. Рождаемость за 2011,15.6,ребенка  на 1 000 в год
,11 / 83,Естественный прирост населения. Рождаемость за 2010,15.8,ребенка  на 1 000 в год
,13 / 83,Естественный прирост населения. Рождаемость за 2009,15.1,ребенка  на 1 000 в год
,17 / 83,Естественный прирост населения. Рождаемость за 2008,14.5,ребенка  на 1 000 в год
,14 / 83,Естественный прирост населения. Рождаемость за 2007,14.2,ребенка  на 1 000 в год
,13 / 83,Естественный прирост населения. Рождаемость за 2006,13.2,ребенка  на 1 000 в год
,10 / 83,Естественный прирост населения. Рождаемость за 2005,13.6,ребенка  на 1 000 в год
,9 / 83,Естественный прирост населения. Рождаемость за 2004,14,детей  на 1 000 в год
,8 / 83,Естественный прирост населения. Рождаемость за 2003,14,детей  на 1 000 в год
,8 / 82,Естественный прирост населения. Рождаемость за 2002,13.1,ребенка  на 1 000 в год
,7 / 82,Естественный прирост населения. Рождаемость за 2001,12.8,ребенка  на 1 000 в год
,8 / 82,Естественный прирост населения. Рождаемость за 2000,11.7,ребенка  на 1 000 в год
,7 / 82,Естественный прирост населения. Рождаемость за 1999,12.2,ребенка  на 1 000 в год
,7 / 82,Естественный прирост населения. Рождаемость за 1998,12.8,ребенка  на 1 000 в год
,7 / 82,Естественный прирост населения. Рождаемость за 1997,12.5,ребенка  на 1 000 в год
,6 / 82,Естественный прирост населения. Рождаемость за 1996,12.8,ребенка  на 1 000 в год
,8 / 82,Естественный прирост населения. Рождаемость за 1995,13.1,ребенка  на 1 000 в год
,8 / 81,Естественный прирост населения. Рождаемость за 1994,13.3,ребенка  на 1 000 в год
,11 / 81,Естественный прирост населения. Рождаемость за 1993,12.2,ребенка  на 1 000 в год
,15 / 82,Естественный прирост населения. Рождаемость за 1992,13,детей  на 1 000 в год
,15 / 82,Естественный прирост населения. Рождаемость за 1991,14.7,ребенка  на 1 000 в год
,15 / 82,Естественный прирост населения. Рождаемость за 1990,16.4,ребенка  на 1 000 в год
