,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,17 / 85,Естественный прирост населения  за 2017,1.1,человека  на 1 000 в год
,16 / 85,Естественный прирост населения за 2016,2.6,человека  на 1 000 в год
,15 / 85,Естественный прирост населения за 2015,3.8,человека  на 1 000 в год
,14 / 85,Естественный прирост населения за 2014,4.2,человека  на 1 000 в год
,14 / 83,Естественный прирост населения за 2013,4.7,человека  на 1 000 в год
,13 / 83,Естественный прирост населения за 2012,4.9,человека  на 1 000 в год
,12 / 83,Естественный прирост населения за 2011,4.5,человека  на 1 000 в год
,12 / 83,Естественный прирост населения за 2010,4.3,человека  на 1 000 в год
,13 / 83,Естественный прирост населения за 2009,4.1,человека  на 1 000 в год
,10 / 83,Естественный прирост населения за 2008,4.8,человека  на 1 000 в год
,11 / 83,Естественный прирост населения за 2007,3.5,человека  на 1 000 в год
,11 / 83,Естественный прирост населения за 2006,2.2,человека  на 1 000 в год
,12 / 83,Естественный прирост населения за 2005,1.5,человека  на 1 000 в год
,10 / 83,Естественный прирост населения за 2004,2.5,человека  на 1 000 в год
,11 / 83,Естественный прирост населения за 2003,1.5,человека  на 1 000 в год
,11 / 82,Естественный прирост населения за 2002,0.4,человека  на 1 000 в год
,10 / 82,Естественный прирост населения за 2001,0.6,человека  на 1 000 в год
,12 / 82,Естественный прирост населения за 2000,0.1,человека  на 1 000 в год
,12 / 82,Естественный прирост населения за 1999,0.8,человека  на 1 000 в год
,12 / 82,Естественный прирост населения за 1998,1.9,человека  на 1 000 в год
,9 / 82,Естественный прирост населения за 1997,2.5,человека  на 1 000 в год
,8 / 82,Естественный прирост населения за 1996,2.2,человека  на 1 000 в год
,8 / 82,Естественный прирост населения за 1995,3.1,человека  на 1 000 в год
,5 / 81,Естественный прирост населения за 1994,4.6,человека  на 1 000 в год
,5 / 81,Естественный прирост населения за 1993,5.9,человека  на 1 000 в год
,4 / 82,Естественный прирост населения за 1992,9.5,человека  на 1 000 в год
,5 / 82,Естественный прирост населения за 1991,11.1,человека  на 1 000 в год
,6 / 82,Естественный прирост населения за 1990,12.7,человека  на 1 000 в год
,45 / 85,Естественный прирост населения. Рождаемость  за 2017,11,детей  на 1 000 в год
,46 / 85,Естественный прирост населения. Рождаемость за 2016,12.4,ребенка  на 1 000 в год
,35 / 85,Естественный прирост населения. Рождаемость за 2015,13.6,ребенка  на 1 000 в год
,29 / 85,Естественный прирост населения. Рождаемость за 2014,14.1,ребенка  на 1 000 в год
,22 / 83,Естественный прирост населения. Рождаемость за 2013,14.6,ребенка  на 1 000 в год
,19 / 83,Естественный прирост населения. Рождаемость за 2012,15,детей  на 1 000 в год
,16 / 83,Естественный прирост населения. Рождаемость за 2011,14.6,ребенка  на 1 000 в год
,13 / 83,Естественный прирост населения. Рождаемость за 2010,15.3,ребенка  на 1 000 в год
,13 / 83,Естественный прирост населения. Рождаемость за 2009,15.1,ребенка  на 1 000 в год
,10 / 83,Естественный прирост населения. Рождаемость за 2008,15.3,ребенка  на 1 000 в год
,12 / 83,Естественный прирост населения. Рождаемость за 2007,14.5,ребенка  на 1 000 в год
,12 / 83,Естественный прирост населения. Рождаемость за 2006,13.3,ребенка  на 1 000 в год
,13 / 83,Естественный прирост населения. Рождаемость за 2005,13.1,ребенка  на 1 000 в год
,13 / 83,Естественный прирост населения. Рождаемость за 2004,13.5,ребенка  на 1 000 в год
,12 / 83,Естественный прирост населения. Рождаемость за 2003,13.3,ребенка  на 1 000 в год
,11 / 82,Естественный прирост населения. Рождаемость за 2002,12.7,ребенка  на 1 000 в год
,12 / 82,Естественный прирост населения. Рождаемость за 2001,11.7,ребенка  на 1 000 в год
,12 / 82,Естественный прирост населения. Рождаемость за 2000,11.3,ребенка  на 1 000 в год
,8 / 82,Естественный прирост населения. Рождаемость за 1999,11.6,ребенка  на 1 000 в год
,8 / 82,Естественный прирост населения. Рождаемость за 1998,12.4,ребенка  на 1 000 в год
,8 / 82,Естественный прирост населения. Рождаемость за 1997,12.3,ребенка  на 1 000 в год
,7 / 82,Естественный прирост населения. Рождаемость за 1996,12.5,ребенка  на 1 000 в год
,6 / 82,Естественный прирост населения. Рождаемость за 1995,13.7,ребенка  на 1 000 в год
,4 / 81,Естественный прирост населения. Рождаемость за 1994,14.8,ребенка  на 1 000 в год
,3 / 81,Естественный прирост населения. Рождаемость за 1993,15.8,ребенка  на 1 000 в год
,4 / 82,Естественный прирост населения. Рождаемость за 1992,18.2,ребенка  на 1 000 в год
,4 / 82,Естественный прирост населения. Рождаемость за 1991,19.5,ребенка  на 1 000 в год
,4 / 82,Естественный прирост населения. Рождаемость за 1990,20.9,ребенка  на 1 000 в год
,72 / 85,Естественный прирост населения. Смертность  за 2017,9.9,человека  на 1 000 в год
,75 / 85,Естественный прирост населения. Смертность за 2016,9.8,человека  на 1 000 в год
,75 / 85,Естественный прирост населения. Смертность за 2015,9.8,человека  на 1 000 в год
