,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,48 / 85,Естественный прирост населения  за 2017,-1.9,человека  на 1 000 в год
,48 / 85,Естественный прирост населения за 2016,-1.2,человека  на 1 000 в год
,50 / 85,Естественный прирост населения за 2015,-1.4,человека  на 1 000 в год
,54 / 85,Естественный прирост населения за 2014,-1.7,человека  на 1 000 в год
,43 / 85,Естественный прирост населения. Рождаемость  за 2017,11.2,ребенка  на 1 000 в год
,43 / 85,Естественный прирост населения. Рождаемость за 2016,12.7,ребенка  на 1 000 в год
,39 / 85,Естественный прирост населения. Рождаемость за 2015,13.5,ребенка  на 1 000 в год
,51 / 85,Естественный прирост населения. Рождаемость за 2014,12.6,ребенка  на 1 000 в год
,41 / 85,Естественный прирост населения. Смертность  за 2017,13.1,человека  на 1 000 в год
,33 / 85,Естественный прирост населения. Смертность за 2016,13.9,человека  на 1 000 в год
,24 / 85,Естественный прирост населения. Смертность за 2015,14.9,человека  на 1 000 в год
,1 / 85,Миграционный прирост населения  за 2017,201.8,человека  на 10 000 в год
,1 / 85,Миграционный прирост населения за 2016,308.2,человека  на 10 000 в год
,1 / 85,Миграционный прирост населения за 2015,438.7,человека  на 10 000 в год
,1 / 85,Общий прирост населения,29.56,человека  на 1 000 в год
,1 / 85,Общий прирост населения в городах,31.37,человека  на 1 000 в год
,10 / 85,Общий прирост населения в сёлах,6.441,человека  на 1 000 в год
,77 / 85,Численность населения  за 2019,443 212,человек
,77 / 85,Численность населения за 2018,436 670,человек
,77 / 85,Численность населения за 2017,428 753,человека
,77 / 85,Численность населения за 2016,416 263,человека
,77 / 85,Численность населения за 2015,398 973,человека
,77 / 85,Численность населения за 1990,392 826,человек
,,Б. Демографический состав,,
,69 / 85,Доля детей  за 2017,16.5,%
,71 / 85,Доля детей за 2016,16,%
,75 / 85,Доля детей за 2015,15.3,%
,27 / 85,Доля пожилых  за 2017,27.1,%
,21 / 85,Доля пожилых за 2016,27.2,%
,14 / 85,Доля пожилых за 2015,27.5,%
,55 / 85,Общая демографическая нагрузка  за 2018,78.66,человека  на 100 трудоспособных
,50 / 85,Общая демографическая нагрузка за 2017,77.16,человека  на 100 трудоспособных
,42 / 85,Общая демографическая нагрузка за 2016,75.96,человека  на 100 трудоспособных
,27 / 85,Общая демографическая нагрузка за 2015,74.8,человека  на 100 трудоспособных
,27 / 85,Процент мужчин,46.85,%
,56 / 85,Процент русских,81.07,%
,33 / 85,Средний возраст,40.72,года
,4 / 85,Урбанизация  за 2018,93,%
,4 / 85,Урбанизация за 2017,92.8,%
,4 / 85,Урбанизация за 2016,92.7,%
,5 / 85,Урбанизация за 2015,92.4,%
,,В0. Здоровье,,
,29 / 85,Заболеваемость ВИЧ  за 2016,51.4,случая  на 100 000 человек
,40 / 84,Заболеваемость ВИЧ за 2015,45.1,случая  на 100 000 человек
,30 / 85,Заболеваемость ВИЧ за 2014,53.6,случая  на 100 000 человек
,33 / 85,Заболеваемость ожирением  за 2017,335.2,случая  на 100 тыс. человек
,70 / 84,Заболеваемость ожирением за 2016,189.5,случая  на 100 тыс. человек
,85 / 85,Заболеваемость ожирением за 2015,43.9,случая  на 100 тыс. человек
,85 / 85,Заболеваемость ожирением за 2014,59.7,случая  на 100 тыс. человек
,75 / 85,Заболеваемость психическими расстройствами  за 2016,128.8,случая  на 100 000 человек
,78 / 85,Заболеваемость психическими расстройствами за 2015,131.8,случая  на 100 000 человек
,17 / 85,Заболеваемость психическими расстройствами за 2014,413.3,случая  на 100 000 человек
,30 / 85,Заболеваемость раком  за 2016,453.6,случая  на 100 000 человек
,61 / 85,Заболеваемость раком за 2015,367.7,случая  на 100 000 человек
,30 / 85,Заболеваемость раком за 2014,433.1,случая  на 100 000 человек
,73 / 85,Заболеваемость сифилисом  за 2016,7.9,случая  на 100 000 человек
,41 / 85,Заболеваемость сифилисом за 2015,20.3,случая  на 100 000 человек
,57 / 85,Заболеваемость сифилисом за 2014,16.3,случая  на 100 000 человек
,66 / 85,Количество абортов,39,на 100 родов
,18 / 85,Ожидаемая продолжительность жизни  за 2017,73.37,года
,31 / 85,Ожидаемая продолжительность жизни за 2016,71.64,года
,38 / 85,Ожидаемая продолжительность жизни за 2015,70.67,года
,10 / 85,Ожидаемая продолжительность жизни за 2014,72.28,года
,72 / 85,Процент с ожирением  за 2017,782,человека  на 100 тыс.
,72 / 85,Процент с ожирением за 2016,719.7,человека  на 100 тыс.
,68 / 85,Процент с ожирением за 2015,779.3,человека  на 100 тыс.
,53 / 85,Процент с ожирением за 2014,863.5,человека  на 100 тыс.
,,В1. Причины смертности,,
,81 / 85,Смертность от болезней органов дыхания  за 2017,20.3,на 100 000 человек
,74 / 85,Смертность от болезней органов дыхания за 2016,27.9,на 100 000 человек
,73 / 85,Смертность от болезней органов дыхания за 2015,30.9,на 100 000 человек
