,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,1 / 85,Естественный прирост населения  за 2017,17.4,человека  на 1 000 в год
,1 / 85,Естественный прирост населения за 2016,16.6,человека  на 1 000 в год
,1 / 85,Естественный прирост населения за 2015,18.2,человека  на 1 000 в год
,1 / 85,Естественный прирост населения за 2014,19.2,человека  на 1 000 в год
,1 / 83,Естественный прирост населения за 2013,19.8,человека  на 1 000 в год
,1 / 83,Естественный прирост населения за 2012,20.7,человека  на 1 000 в год
,1 / 83,Естественный прирост населения за 2011,23.7,человека  на 1 000 в год
,1 / 83,Естественный прирост населения за 2010,24.3,человека  на 1 000 в год
,1 / 83,Естественный прирост населения за 2009,23.8,человека  на 1 000 в год
,1 / 83,Естественный прирост населения за 2008,24.8,человека  на 1 000 в год
,1 / 83,Естественный прирост населения за 2007,22.4,человека  на 1 000 в год
,1 / 83,Естественный прирост населения за 2006,18.9,человека  на 1 000 в год
,1 / 83,Естественный прирост населения за 2005,19.8,человека  на 1 000 в год
,1 / 83,Естественный прирост населения за 2004,19.6,человека  на 1 000 в год
,1 / 83,Естественный прирост населения за 2003,18.4,человека  на 1 000 в год
,2 / 82,Естественный прирост населения за 1992,12.5,человека  на 1 000 в год
,2 / 82,Естественный прирост населения за 1991,14.6,человека  на 1 000 в год
,3 / 82,Естественный прирост населения за 1990,15.8,человека  на 1 000 в год
,1 / 85,Естественный прирост населения. Рождаемость  за 2017,22,ребенка  на 1 000 в год
,2 / 85,Естественный прирост населения. Рождаемость за 2016,21.3,ребенка  на 1 000 в год
,2 / 85,Естественный прирост населения. Рождаемость за 2015,23.1,ребенка  на 1 000 в год
,2 / 85,Естественный прирост населения. Рождаемость за 2014,24.3,ребенка  на 1 000 в год
,2 / 83,Естественный прирост населения. Рождаемость за 2013,24.7,ребенка  на 1 000 в год
,2 / 83,Естественный прирост населения. Рождаемость за 2012,26.2,ребенка  на 1 000 в год
,1 / 83,Естественный прирост населения. Рождаемость за 2011,29,детей  на 1 000 в год
,1 / 83,Естественный прирост населения. Рождаемость за 2010,29.9,ребенка  на 1 000 в год
,1 / 83,Естественный прирост населения. Рождаемость за 2009,29.1,ребенка  на 1 000 в год
,1 / 83,Естественный прирост населения. Рождаемость за 2008,29.3,ребенка  на 1 000 в год
,1 / 83,Естественный прирост населения. Рождаемость за 2007,27.1,ребенка  на 1 000 в год
,1 / 83,Естественный прирост населения. Рождаемость за 2006,23.9,ребенка  на 1 000 в год
,1 / 83,Естественный прирост населения. Рождаемость за 2005,24.9,ребенка  на 1 000 в год
,1 / 83,Естественный прирост населения. Рождаемость за 2004,25.2,ребенка  на 1 000 в год
,1 / 83,Естественный прирост населения. Рождаемость за 2003,24.9,ребенка  на 1 000 в год
,3 / 82,Естественный прирост населения. Рождаемость за 1992,19.9,ребенка  на 1 000 в год
,3 / 82,Естественный прирост населения. Рождаемость за 1991,22.6,ребенка  на 1 000 в год
,3 / 82,Естественный прирост населения. Рождаемость за 1990,24.1,ребенка  на 1 000 в год
,84 / 85,Естественный прирост населения. Смертность  за 2017,4.6,человека  на 1 000 в год
,84 / 85,Естественный прирост населения. Смертность за 2016,4.7,человека  на 1 000 в год
,84 / 85,Естественный прирост населения. Смертность за 2015,4.9,человека  на 1 000 в год
