,Unnamed: 1,А. Общая демография,Unnamed: 3,Unnamed: 4
,15 / 85,Естественный прирост населения  за 2017,1.8,человека  на 1 000 в год
,17 / 85,Естественный прирост населения за 2016,2.4,человека  на 1 000 в год
,16 / 85,Естественный прирост населения за 2015,2.7,человека  на 1 000 в год
,15 / 85,Естественный прирост населения за 2014,3.8,человека  на 1 000 в год
,15 / 83,Естественный прирост населения за 2013,4.4,человека  на 1 000 в год
,15 / 83,Естественный прирост населения за 2012,3.9,человека  на 1 000 в год
,15 / 83,Естественный прирост населения за 2011,3.3,человека  на 1 000 в год
,15 / 83,Естественный прирост населения за 2010,2.9,человека  на 1 000 в год
,14 / 83,Естественный прирост населения за 2009,3.5,человека  на 1 000 в год
,12 / 83,Естественный прирост населения за 2008,3.8,человека  на 1 000 в год
,12 / 83,Естественный прирост населения за 2007,3.4,человека  на 1 000 в год
,14 / 83,Естественный прирост населения за 2006,0.3,человека  на 1 000 в год
,13 / 83,Естественный прирост населения за 2005,0.1,человека  на 1 000 в год
,14 / 83,Естественный прирост населения за 2004,0.3,человека  на 1 000 в год
,14 / 83,Естественный прирост населения за 2003,-0.8,человека  на 1 000 в год
,13 / 82,Естественный прирост населения за 2002,-0.7,человека  на 1 000 в год
,13 / 82,Естественный прирост населения за 2001,-0.3,человека  на 1 000 в год
,13 / 82,Естественный прирост населения за 2000,-0.7,человека  на 1 000 в год
,13 / 82,Естественный прирост населения за 1999,-0.4,человека  на 1 000 в год
,13 / 82,Естественный прирост населения за 1998,1,человек  на 1 000 в год
,12 / 82,Естественный прирост населения за 1997,0.8,человека  на 1 000 в год
,10 / 82,Естественный прирост населения за 1996,1.3,человека  на 1 000 в год
,9 / 82,Естественный прирост населения за 1995,2.6,человека  на 1 000 в год
,8 / 81,Естественный прирост населения за 1994,2.7,человека  на 1 000 в год
,8 / 81,Естественный прирост населения за 1993,2.9,человека  на 1 000 в год
,9 / 82,Естественный прирост населения за 1992,6.8,человека  на 1 000 в год
,11 / 82,Естественный прирост населения за 1991,8,человек  на 1 000 в год
,13 / 82,Естественный прирост населения за 1990,8.8,человека  на 1 000 в год
,45 / 85,Естественный прирост населения. Рождаемость  за 2017,11,детей  на 1 000 в год
,58 / 85,Естественный прирост населения. Рождаемость за 2016,11.9,ребенка  на 1 000 в год
,56 / 85,Естественный прирост населения. Рождаемость за 2015,12.3,ребенка  на 1 000 в год
,40 / 85,Естественный прирост населения. Рождаемость за 2014,13.5,ребенка  на 1 000 в год
,34 / 83,Естественный прирост населения. Рождаемость за 2013,13.9,ребенка  на 1 000 в год
,39 / 83,Естественный прирост населения. Рождаемость за 2012,13.7,ребенка  на 1 000 в год
,31 / 83,Естественный прирост населения. Рождаемость за 2011,13.2,ребенка  на 1 000 в год
,33 / 83,Естественный прирост населения. Рождаемость за 2010,12.9,ребенка  на 1 000 в год
,16 / 83,Естественный прирост населения. Рождаемость за 2009,14.5,ребенка  на 1 000 в год
