,REGION_NAME,DISTRICT_NAME,LPU_NAME,YEAR,WEEK,SWB_0_2,SWB_3_6,SWB_7_14,SWB_15,SWB_TOTAL,POS_0_2,POS_3_6,POS_7_14,POS_15,POS_TOTAL,SWBA_0_2,SWBA_3_6,SWBA_7_14,SWBA_15,SWBA_TOTAL,POSA_0_2,POSA_3_6,POSA_7_14,POSA_15,POSA_TOTAL,Индекс,Тип региона,Регион,Тип района,Район,Тип города,Тип н/п,Н/п,Код КЛАДР,Код ФИАС,Уровень по ФИАС,Признак центра района или региона,Код ОКАТО,Код ОКТМО,Код ИФНС,Часовой пояс,Широта,Долгота,Федеральный округ,Население
0,Дальневосточный ФО,Биробиджан,ЦГиЭ,2015,40,7,1,3,1,12,0,0,0,0,0,7,1,3,1,12,5,1,0,0,6,679002.0,Аобл,Еврейская,,,г,,,7900000100000.0,5d133391-46ee-496b-83a6-efeeaa903643,4: город,2.0,99401000000.0,99701000.0,7901.0,UTC+10,48.7945975,132.9217594,Дальневосточный,75419
1,Дальневосточный ФО,Владивосток,ЦГиЭ,2015,40,4,5,0,22,31,0,0,0,0,0,4,5,0,22,31,1,1,0,4,6,690000.0,край,Приморский,,,г,,,2500000100000.0,7b6de6a5-86d0-4735-b11a-499081111af8,4: город,2.0,5401000000.0,5701000.0,2500.0,UTC+10,43.1163807,131.882348,Дальневосточный,592069
2,Дальневосточный ФО,Магадан,ЦГиЭ,2015,40,11,6,1,4,22,0,0,0,0,0,11,6,1,4,22,7,2,0,0,9,685000.0,обл,Магаданская,,,г,,,4900000100000.0,cb8ae35a-93df-4133-b377-50f3698c8b5e,4: город,2.0,44401000000.0,44701000001.0,4900.0,UTC+11,59.5681763,150.8085289,Дальневосточный,95925
3,Дальневосточный ФО,Петропавловск,ЦГиЭ,2015,40,6,6,4,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
4,Дальневосточный ФО,Хабаровск,ЦГиЭ,2015,40,8,12,3,3,26,0,0,0,0,0,8,12,3,3,26,2,7,1,1,11,680000.0,край,Хабаровский,,,г,,,2700000100000.0,a4859da8-9977-4b62-8436-4e1b98c5d13f,4: город,2.0,8401000000.0,8701000.0,2700.0,UTC+10,48.4647991,135.0598811,Дальневосточный,577668
5,Дальневосточный ФО,Чита,ЦГиЭ,2015,40,4,0,2,12,18,0,0,0,0,0,4,0,2,12,18,2,0,1,6,9,672000.0,край,Забайкальский,,,г,,,7500000100000.0,2d9abaa6-85a6-4f1f-a1bd-14b76ec17d9c,4: город,2.0,76401000000.0,76701000.0,7536.0,UTC+9,52.0340128,113.4994884,Сибирский,323964
6,Дальневосточный ФО,Южно-Сахалинск,ЦГиЭ,2015,40,2,0,0,8,10,0,0,0,1,1,2,0,0,8,10,0,0,0,0,0,693000.0,обл,Сахалинская,,,г,,,6500000100000.0,44388ad0-06aa-49b0-bbf9-1704629d1d68,4: город,2.0,64401000000.0,64701000.0,6500.0,UTC+11,46.959133,142.7381252,Дальневосточный,181727
7,Дальневосточный ФО,Якутск,ЦГиЭ,2015,40,1,0,0,1,2,0,0,0,0,0,1,0,0,1,2,1,0,0,0,1,677000.0,Респ,Саха /Якутия/,,,г,,,1400000100000.0,884c84a2-0141-4652-962d-8a92989b88f7,4: город,2.0,98401000000.0,98701000.0,1447.0,UTC+9,62.0280273,129.7325717,Дальневосточный,269486
8,Приволжский ФО,Ижевск,ЦГиЭ,2015,40,38,28,17,3,86,0,0,0,0,0,38,28,17,3,86,19,20,6,0,45,426000.0,Респ,Удмуртская,,,г,,,1800000100000.0,deb1d05a-71ce-40d1-b726-6ba85d70d58f,4: город,2.0,94401000000.0,94701000001.0,1800.0,UTC+4,56.8527444,53.2113961,Приволжский,628117
9,Приволжский ФО,Казань,ЦГиЭ,2015,40,8,1,0,8,17,0,0,0,0,0,8,1,0,8,17,7,0,0,2,9,420000.0,Респ,Татарстан,,,г,,,1600000100000.0,93b3df57-4c89-44df-ac42-96f05e9cd3b9,4: город,2.0,92401000000.0,92701000.0,1600.0,UTC+3,55.7943877,49.1115312,Приволжский,1216965
10,Приволжский ФО,Киров,ЦГиЭ,2015,40,2,1,2,0,5,0,0,0,0,0,2,1,2,0,5,1,0,1,0,2,249440.0,обл,Калужская,р-н,Кировский,г,,,4001100100000.0,7c875ac0-5c75-4798-8786-564ccb5bd9f2,4: город,1.0,29214501000.0,29614101001.0,4023.0,UTC+3,54.0790823,34.3077508,Центральный,31888
11,Приволжский ФО,Киров,ЦГиЭ,2015,40,2,1,2,0,5,0,0,0,0,0,2,1,2,0,5,1,0,1,0,2,610000.0,обл,Кировская,,,г,,,4300000100000.0,452a2ddf-88a1-4e35-8d8d-8635493768d4,4: город,2.0,33401000000.0,33701000001.0,4345.0,UTC+3,58.6035313,49.6679219,Приволжский,473668
12,Приволжский ФО,Нижний Новгород,ЦГиЭ,2015,40,1,5,3,21,30,0,0,0,0,0,0,1,0,5,6,0,0,0,0,0,603000.0,обл,Нижегородская,,,г,,,5200000100000.0,555e7d61-d9a7-4ba6-9770-6caa8198c483,4: город,2.0,22401000000.0,22701000.0,5200.0,UTC+3,56.3242093,44.0053948,Приволжский,1250615
13,Приволжский ФО,Оренбург,ЦГиЭ,2015,40,2,2,1,3,8,0,0,0,0,0,2,2,1,3,8,0,0,0,0,0,460000.0,обл,Оренбургская,,,г,,,5600000100000.0,dce97bff-deb2-4fd9-9aec-4f4327bbf89b,4: город,2.0,53401000000.0,53701000.0,5600.0,UTC+5,51.7875191,55.1017379,Приволжский,570329
14,Приволжский ФО,Пенза,ЦГиЭ,2015,40,0,0,0,0,3,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,440000.0,обл,Пензенская,,,г,,,5800000100000.0,ff3292b1-a1d2-47d4-b35b-ac06b50555cc,4: город,2.0,56401000000.0,56701000.0,5800.0,UTC+3,53.1753884,45.0347408,Приволжский,519592
15,Приволжский ФО,Пермь,ЦГиЭ,2015,40,9,1,0,3,13,0,0,0,0,0,9,1,0,3,13,3,0,0,0,3,614000.0,край,Пермский,,,г,,,5900000100000.0,a309e4ce-2f36-4106-b1ca-53e0f48a6d95,4: город,2.0,57401000000.0,57701000001.0,5900.0,UTC+5,58.0103211,56.2341778,Приволжский,1000679
16,Приволжский ФО,Самара,ЦГиЭ,2015,40,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443000.0,обл,Самарская,,,г,,,6300000100000.0,bb035cc3-1dc2-4627-9d25-a1bf2d4b936b,4: город,2.0,36401000000.0,36701000.0,6300.0,UTC+4,53.1951657,50.1067691,Приволжский,1164900
17,Приволжский ФО,Саратов,ЦГиЭ,2015,40,7,3,1,21,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410000.0,обл,Саратовская,,,г,,,6400000100000.0,bf465fda-7834-47d5-986b-ccdb584a85a6,4: город,2.0,63401000000.0,63701000.0,6400.0,UTC+4,51.530376,45.9530257,Приволжский,836900
18,Приволжский ФО,Ульяновск,ЦГиЭ,2015,40,2,0,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432000.0,обл,Ульяновская,,,г,,,7300000100000.0,bebfd75d-a0da-4bf9-8307-2e2c85eac463,4: город,2.0,73401000000.0,73701000.0,7300.0,UTC+4,54.3080674,48.3748717,Приволжский,613793
19,Приволжский ФО,Уфа,ЦГиЭ,2015,40,2,2,5,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450000.0,Респ,Башкортостан,,,г,,,200000100000.0,7339e834-2cb4-4734-a4c7-1fca2c66e562,4: город,3.0,80401000000.0,80701000.0,200.0,UTC+5,54.734853,55.9578647,Приволжский,1062300
20,Приволжский ФО,Чебоксары,ЦГиЭ,2015,40,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428000.0,Чувашия,Чувашская Республика,,,г,,,2100000100000.0,dd8caeab-c685-4f2a-bf5f-550aca1bbc48,4: город,2.0,97401000000.0,97701000.0,2130.0,UTC+3,56.1439378,47.2488718,Приволжский,447929
21,Северо-Западный ФО,Архангельск,ЦГиЭ,2015,40,9,2,0,3,14,0,0,0,0,0,9,2,0,3,14,6,0,0,0,6,163000.0,обл,Архангельская,,,г,,,2900000100000.0,06814fb6-0dc3-4bec-ba20-11f894a0faf5,4: город,2.0,11401000000.0,11701000.0,2901.0,UTC+3,64.5392985,40.5170083,Северо-Западный,348716
22,Северо-Западный ФО,Великий Новгород,ЦГиЭ,2015,40,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173000.0,обл,Новгородская,,,г,,,5300000100000.0,8d0a05bf-3b8a-43e9-ac26-7ce61d7c4560,4: город,2.0,49401000000.0,49701000001.0,5321.0,UTC+3,58.5214003,31.2755051,Северо-Западный,218724
23,Северо-Западный ФО,Вологда,ЦГиЭ,2015,40,7,5,0,9,21,0,0,0,0,0,7,5,0,9,21,5,3,0,4,12,160000.0,обл,Вологодская,,,г,,,3500000100000.0,023484a5-f98d-4849-82e1-b7e0444b54ef,4: город,2.0,19401000000.0,19701000001.0,3500.0,UTC+3,59.2484186,39.8356461,Северо-Западный,301642
24,Северо-Западный ФО,Калининград,ЦГиЭ,2015,40,9,2,2,8,21,0,0,0,0,0,4,1,0,4,9,3,0,0,2,5,236001.0,обл,Калининградская,,,г,,,3900000100000.0,df679694-d505-4dd3-b514-4ba48c8a97d8,4: город,2.0,27401000000.0,27701000001.0,3905.0,UTC+2,54.7073218,20.5072458,Северо-Западный,431491
25,Северо-Западный ФО,Мурманск,ЦГиЭ,2015,40,2,2,2,8,14,0,0,0,0,0,2,0,1,2,5,1,0,2,1,4,183000.0,обл,Мурманская,,,г,,,5100000100000.0,b7127184-ead6-422b-b7cf-4fc7725b47a5,4: город,2.0,47401000000.0,47701000001.0,5100.0,UTC+3,69.0076958,33.0686019,Северо-Западный,307664
26,Северо-Западный ФО,Петрозаводск,ЦГиЭ,2015,40,2,2,4,2,10,0,0,0,0,0,2,2,4,2,10,1,2,3,2,8,185000.0,Респ,Карелия,,,г,,,1000000100000.0,ccc34487-8fd4-4e71-b032-f4e6c82fb354,4: город,2.0,86401000000.0,86701000.0,1001.0,UTC+3,61.78909,34.3596263,Северо-Западный,263540
27,Северо-Западный ФО,Санкт-Петербург,ФГУЗ,2015,40,9,5,8,23,45,0,0,0,0,0,9,5,8,23,45,4,1,1,0,6,190000.0,г,Санкт-Петербург,,,,,,7800000000000.0,c2deb16a-0330-4f05-821f-1d09c93331e6,1: регион,0.0,40000000000.0,,7800.0,UTC+3,59.939125,30.3158225,Северо-Западный,4848742
28,Северо-Западный ФО,Сыктывкар,ЦГиЭ,2015,40,1,1,3,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167000.0,Респ,Коми,,,г,,,1100000100000.0,d2944a73-daf4-4a08-9b34-d9b0af7785a1,4: город,2.0,87401000000.0,87701000001.0,1100.0,UTC+3,61.668789,50.8356491,Северо-Западный,235006
29,Сибирский ФО,Барнаул,ЦГиЭ,2015,40,0,0,0,0,20,0,0,0,0,0,0,0,0,0,16,0,0,0,0,9,656000.0,край,Алтайский,,,г,,,2200000100000.0,d13945a8-7017-46ab-b1e6-ede1e89317ad,4: город,2.0,1401000000.0,1701000.0,2200.0,UTC+7,53.3481145,83.7798362,Сибирский,635585
30,Сибирский ФО,Иркутск,ЦГиЭ,2015,40,2,4,5,12,23,0,0,0,0,0,2,4,5,12,23,0,2,1,0,3,664000.0,обл,Иркутская,,,г,,,3800000300000.0,8eeed222-72e7-47c3-ab3a-9a553c31cf72,4: город,2.0,25401000000.0,25701000001.0,3800.0,UTC+8,52.2863513,104.280655,Сибирский,587225
