Город,"Средняя годовая температура, °C","Температура самого холодного  месяца, °C","Температура трёх самых холодных  месяцев, °C","Температура самого тёплого месяца,  °C","Температура трёх самых тёплых  месяцев, °C","Абсолютный минимум, °C","Абсолютный максимум, °C","Среднее годовое количество  осадков, мм"
Сочи,142,6,66,236,224,"−13,4",394,1684
Махачкала,124,12,17,247,235,"−26,9",387,340
Анапа,122,24,32,232,222,"−23,9",382,564
Краснодар,119,03,11,24,229,"−33,7",40,718
Яшкуль,108,"−3,3","−2,6",26,245,"−36,1",442,270
Астрахань,105,"−3,7","−3,1",256,242,"−37,7",41,233
Ростов-на-Дону,99,"−3,1","−2,6",233,223,"−31,9",401,643
Минеральные  Воды,97,"−2,5","−2,1",227,214,"−28,3",409,556
Ставрополь,93,"−2,9","−1,9",22,209,"−27,8",397,556
Владикавказ,92,"−1,9","−1,4",206,196,"−27,8",392,929
Волгоград,81,"−6,7","−5,9",235,222,"−32,6",411,347
Калининград,79,"−1,5","−1,0",181,171,"−33,3",365,818
Камышин,76,"−7,8","−7,0",237,224,"−35,0",415,389
Александров  Гай,74,"−8,7","−8,2",242,228,"−39,9",438,329
Воронеж,69,"−6,5","−5,9",205,194,"−36,5",405,587
Саратов,69,"−8,1","−7,4",224,211,"−37,3",409,476
Курск,65,"−6,2","−5,8",196,186,"−35,3",388,648
Елец,62,"−7,4","−6,6",20,188,"−37,8",411,589
Орёл,62,"−6,7","−6,1",194,183,"−37,8",395,601
Брянск,61,"−6,1","−5,7",19,178,"−35,0",384,671
Тамбов,61,"−7,8","−7,2",204,192,"−38,0",411,518
Псков,59,"−5,7","−4,9",183,169,"−40,6",356,702
Москва,58,"−6,7","−6,1",192,177,"−42,1",382,707
Санкт-Петербург,58,"−5,8","−5,0",188,172,"−35,9",371,662
Великие  Луки,57,"−6,0","−5,4",18,167,"−45,7",362,639
Самара,56,"−10,1","−9,4",214,201,"−43,0",404,557
Тула,55,"−7,7","−6,9",19,177,"−36,1",392,614
Кингисепп,54,"−6,0","−5,2",181,165,"−40,0",353,743
Смоленск,54,"−6,4","−5,9",179,167,"−37,9",372,739
Оренбург,53,"−11,8","−10,9",223,211,"−43,2",416,364
Пенза,52,"−9,3","−8,6",199,186,"−45,0",41,521
Тверь,51,"−7,6","−7,0",188,172,"−44,0",388,653
Холмск,51,"−7,6","−6,8",187,169,"−27,0",323,823
Южно-Курильск,51,"−5,3","−3,9",159,144,"−20,3",305,1251
Елатьма,5,"−8,7","−8,1",193,178,"−42,9",393,629
Ульяновск,5,"−10,3","−9,5",202,188,"−40,0",393,470
Владивосток,49,"−12,3","−9,9",198,178,"−31,4",336,818
Выборг,48,"−7,2","−6,2",183,166,"−36,8",346,677
Нижний  Новгород,48,"−8,9","−8,3",194,179,"−41,4",383,648
Владимир,47,"−8,7","−8,0",18,172,"−43,0",371,584
Казань,46,"−10,4","−9,7",202,187,"−46,8",39,558
Рыбинск,44,"−8,8","−8,1",188,171,"−42,0",372,660
Кострома,42,"−9,4","−8,6",187,17,"−46,4",373,625
Уфа,38,"−12,6","−11,6",196,183,"−48,5",386,589
Чебоксары,35,"−12,9","−10,9",188,173,"−44,3",399,499
Череповец,33,"−10,2","−9,2",176,158,"−45,4",362,647
Вологда,31,"−10,8","−9,7",175,158,"−47,1",364,565
Киров,31,"−11,9","−10,9",189,17,"−45,2",369,676
Петрозаводск,31,"−9,3","−8,5",17,151,"−41,6",339,611
Екатеринбург,3,"−12,6","−11,5",19,174,"−46,7",388,537
Ижевск,3,"−12,4","−11,6",19,173,"−47,5",37,510
Магнитогорск,28,"−14,1","−13,2",191,181,"−46,1",389,353
Северо-Курильск,28,"−4,9","−4,1",115,105,"−21,0",264,1842
Южно-Сахалинск,28,"−12,2","−10,8",173,153,"−36,2",371,864
Курган,27,"−15,2","−14,1",198,185,"−47,9",405,406
Пермь,27,"−12,8","−11,8",187,168,"−47,1",372,657
Барнаул,26,"−15,5","−14,0",199,183,"−48,2",383,431
Хабаровск,24,"−19,9","−17,6",213,198,"−41,4",357,684
Челябинск,23,"−14,5","−13,4",182,176,"−49,9",399,429
Онега,22,"−11,4","−10,1",169,148,"−42,5",358,617
Тюмень,22,"−14,9","−13,7",188,172,"−46,1",38,478
Новокузнецк,21,"−15,0","−13,8",188,171,"−47,7",36,447
Омск,21,"−16,3","−15,0",196,182,"−45,5",404,415
Котлас,2,"−13,0","−11,6",176,155,"−47,1",355,576
